# Generated by M. Cushing, Wed Feb 18 15:58:15 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1, with a precipitable water vapor of 2 mm. 
# The transmission spectrum was smoothed to R=2000 and resampled to 2
# pixels per resolution element.  The filter transmission function was
# then resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            3.2844104         0.001
            3.2852315         0.002
            3.2860528         0.001
            3.2868743         0.002
            3.2876960         0.004
            3.2885180         0.006
            3.2893401         0.005
            3.2901624         0.003
            3.2909850         0.003
            3.2918077         0.003
            3.2926307         0.002
            3.2934538         0.003
            3.2942772         0.003
            3.2951007         0.002
            3.2959245         0.002
            3.2967485         0.002
            3.2975727         0.002
            3.2983971         0.002
            3.2992217         0.004
            3.3000465         0.003
            3.3008715         0.003
            3.3016967         0.004
            3.3025221         0.005
            3.3033478         0.006
            3.3041736         0.004
            3.3049997         0.004
            3.3058259         0.009
            3.3066524         0.009
            3.3074790         0.008
            3.3083059         0.005
            3.3091330         0.005
            3.3099603         0.006
            3.3107877         0.006
            3.3116154         0.003
            3.3124433         0.001
            3.3132715         0.000
            3.3140998         0.000
            3.3149283         0.001
            3.3157570         0.001
            3.3165860         0.001
            3.3174151         0.001
            3.3182445         0.002
            3.3190740         0.003
            3.3199038         0.004
            3.3207338         0.005
            3.3215640         0.005
            3.3223944         0.007
            3.3232249         0.009
            3.3240558         0.009
            3.3248868         0.009
            3.3257180         0.012
            3.3265494         0.010
            3.3273811         0.008
            3.3282129         0.007
            3.3290450         0.008
            3.3298772         0.010
            3.3307097         0.010
            3.3315424         0.010
            3.3323752         0.011
            3.3332083         0.009
            3.3340416         0.012
            3.3348752         0.016
            3.3357089         0.014
            3.3365428         0.015
            3.3373769         0.012
            3.3382113         0.013
            3.3390458         0.013
            3.3398806         0.014
            3.3407156         0.013
            3.3415507         0.015
            3.3423861         0.016
            3.3432217         0.017
            3.3440575         0.014
            3.3448935         0.009
            3.3457298         0.012
            3.3465662         0.017
            3.3474028         0.021
            3.3482397         0.023
            3.3490768         0.022
            3.3499140         0.019
            3.3507515         0.019
            3.3515892         0.022
            3.3524271         0.024
            3.3532652         0.022
            3.3541035         0.018
            3.3549420         0.016
            3.3557808         0.012
            3.3566197         0.012
            3.3574589         0.017
            3.3582982         0.021
            3.3591378         0.025
            3.3599776         0.025
            3.3608176         0.023
            3.3616578         0.023
            3.3624982         0.022
            3.3633388         0.025
            3.3641797         0.030
            3.3650207         0.031
            3.3658620         0.030
            3.3667034         0.027
            3.3675451         0.020
            3.3683870         0.021
            3.3692291         0.028
            3.3700714         0.031
            3.3709139         0.031
            3.3717566         0.034
            3.3725996         0.038
            3.3734427         0.044
            3.3742861         0.044
            3.3751297         0.041
            3.3759735         0.037
            3.3768174         0.043
            3.3776617         0.044
            3.3785061         0.033
            3.3793507         0.023
            3.3801955         0.034
            3.3810406         0.048
            3.3818858         0.048
            3.3827313         0.047
            3.3835770         0.048
            3.3844229         0.051
            3.3852690         0.058
            3.3861153         0.062
            3.3869618         0.069
            3.3878086         0.073
            3.3886555         0.079
            3.3895027         0.076
            3.3903501         0.054
            3.3911977         0.038
            3.3920455         0.057
            3.3928935         0.081
            3.3937417         0.089
            3.3945901         0.098
            3.3954388         0.105
            3.3962876         0.108
            3.3971367         0.114
            3.3979860         0.120
            3.3988355         0.125
            3.3996852         0.133
            3.4005351         0.140
            3.4013853         0.136
            3.4022356         0.105
            3.4030862         0.076
            3.4039369         0.096
            3.4047879         0.134
            3.4056391         0.152
            3.4064905         0.163
            3.4073421         0.173
            3.4081940         0.178
            3.4090460         0.200
            3.4098983         0.225
            3.4107508         0.238
            3.4116035         0.246
            3.4124564         0.259
            3.4133095         0.265
