# Generated by M. Cushing, Wed Feb 18 15:58:22 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1, with a precipitable water vapor of 2 mm. 
# The transmission spectrum was smoothed to R=2000 and resampled to 2
# pixels per resolution element.  The filter transmission function was
# then resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            4.4733990         0.000
            4.4745174         0.000
            4.4756360         0.001
            4.4767549         0.001
            4.4778741         0.001
            4.4789936         0.001
            4.4801133         0.001
            4.4812334         0.000
            4.4823537         0.000
            4.4834743         0.000
            4.4845951         0.001
            4.4857163         0.001
            4.4868377         0.002
            4.4879594         0.002
            4.4890814         0.002
            4.4902037         0.002
            4.4913262         0.002
            4.4924491         0.002
            4.4935722         0.003
            4.4946956         0.003
            4.4958192         0.003
            4.4969432         0.003
            4.4980674         0.003
            4.4991919         0.002
            4.5003167         0.003
            4.5014418         0.003
            4.5025672         0.002
            4.5036928         0.002
            4.5048187         0.001
            4.5059450         0.001
            4.5070714         0.002
            4.5081982         0.002
            4.5093253         0.003
            4.5104526         0.004
            4.5115802         0.004
            4.5127081         0.004
            4.5138363         0.004
            4.5149647         0.005
            4.5160935         0.005
            4.5172225         0.005
            4.5183518         0.005
            4.5194814         0.005
            4.5206113         0.005
            4.5217414         0.006
            4.5228718         0.008
            4.5240026         0.009
            4.5251336         0.010
            4.5262649         0.011
            4.5273964         0.011
            4.5285283         0.011
            4.5296604         0.011
            4.5307928         0.012
            4.5319255         0.013
            4.5330585         0.014
            4.5341918         0.016
            4.5353253         0.020
            4.5364591         0.022
            4.5375933         0.025
            4.5387276         0.029
            4.5398623         0.034
            4.5409973         0.039
            4.5421325         0.043
            4.5432681         0.045
            4.5444039         0.047
            4.5455400         0.053
            4.5466764         0.057
            4.5478131         0.064
            4.5489500         0.070
            4.5500872         0.078
            4.5512248         0.085
            4.5523626         0.095
            4.5535007         0.106
            4.5546390         0.119
            4.5557777         0.132
