#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =    200.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     5.07546698     3.48192469    -2.67723823    -0.77920849
    2.00000000     0.13000000     5.07113320     3.48796055    -2.61409180    -0.75970874
    3.00000000     0.14000000     5.06606849     3.49321633    -2.55572159    -0.74104030
    4.00000000     0.15000000     5.06043700     3.49779377    -2.50167433    -0.72317672
    5.00000000     0.16000000     5.05437922     3.50178476    -2.45152390    -0.70608758
    6.00000000     0.17000000     5.04802971     3.50527875    -2.40485097    -0.68974147
    7.00000000     0.18000000     5.04152302     3.50836518    -2.36123619    -0.67410695
    8.00000000     0.19000000     5.03499371     3.51113350    -2.32026022    -0.65915261
    9.00000000     0.20000000     5.02857635     3.51367315    -2.28150373    -0.64484703
   10.00000000     0.21000000     5.02237050     3.51605715    -2.24460229    -0.63115499
   11.00000000     0.22000000     5.01633574     3.51829277    -2.20941106    -0.61802606
   12.00000000     0.23000000     5.01041831     3.52037738    -2.17583366    -0.60541225
   13.00000000     0.24000000     5.00465096     3.52233437    -2.14374786    -0.59329048
   14.00000000     0.25000000     4.99907405     3.52418983    -2.11302518    -0.58163954
   15.00000000     0.26000000     4.99367172     3.52595458    -2.08353797    -0.57042086
   16.00000000     0.27000000     4.98842296     3.52763565    -2.05517386    -0.55959771
   17.00000000     0.28000000     4.98334244     3.52924000    -2.02788073    -0.54915818
   18.00000000     0.29000000     4.97846113     3.53077726    -2.00161558    -0.53909935
   19.00000000     0.30000000     4.97383942     3.53226761    -1.97631181    -0.52942971
   20.00000000     0.31000000     4.96944329     3.53374032    -1.95177578    -0.52011128
   21.00000000     0.32000000     4.96483144     3.53525050    -1.92732944    -0.51090897
   22.00000000     0.33000000     4.95958182     3.53684373    -1.90235253    -0.50159943
   23.00000000     0.34000000     4.95375668     3.53850160    -1.87694027    -0.49220334
   24.00000000     0.35000000     4.94750205     3.54019855    -1.85130132    -0.48278322
   25.00000000     0.36000000     4.94081472     3.54194436    -1.82538243    -0.47332493
   26.00000000     0.37000000     4.93367848     3.54375440    -1.79910029    -0.46380838
   27.00000000     0.38000000     4.92617427     3.54563105    -1.77251323    -0.45426635
   28.00000000     0.39000000     4.91837629     3.54757169    -1.74568785    -0.44472878
   29.00000000     0.40000000     4.91023444     3.54956675    -1.71858214    -0.43516156
   30.00000000     0.41000000     4.90170478     3.55160608    -1.69116553    -0.42553392
   31.00000000     0.42000000     4.89289219     3.55368430    -1.66356180    -0.41589280
   32.00000000     0.43000000     4.88391670     3.55579581    -1.63591337    -0.40629365
   33.00000000     0.44000000     4.87481019     3.55792935    -1.60828280    -0.39674844
   34.00000000     0.45000000     4.86559165     3.56007578    -1.58071145    -0.38726192
   35.00000000     0.46000000     4.85631698     3.56224029    -1.55323583    -0.37785349
   36.00000000     0.47000000     4.84703962     3.56443102    -1.52587470    -0.36854218
   37.00000000     0.48000000     4.83776644     3.56665393    -1.49858072    -0.35933084
   38.00000000     0.49000000     4.82849226     3.56891985    -1.47127758    -0.35021661
   39.00000000     0.50000000     4.81921032     3.57126158    -1.44383907    -0.34119016
   40.00000000     0.51000000     4.80991354     3.57371602    -1.41612464    -0.33224146
   41.00000000     0.52000000     4.80059512     3.57631465    -1.38798628    -0.32336419
   42.00000000     0.53000000     4.79126729     3.57908555    -1.35930486    -0.31456244
   43.00000000     0.54000000     4.78201818     3.58204850    -1.33008419    -0.30587837
   44.00000000     0.55000000     4.77294577     3.58521005    -1.30039440    -0.29735875
   45.00000000     0.56000000     4.76411156     3.58853209    -1.27044804    -0.28903078
   46.00000000     0.57000000     4.75556575     3.59197102    -1.24046614    -0.28091596
   47.00000000     0.58000000     4.74734963     3.59550586    -1.21056137    -0.27303240
   48.00000000     0.59000000     4.73951167     3.59913316    -1.18078468    -0.26540184
   49.00000000     0.60000000     4.73213791     3.60289698    -1.15104860    -0.25806396
   50.00000000     0.61000000     4.72527895     3.60683123    -1.12127222    -0.25104166
   51.00000000     0.62000000     4.71880594     3.61088178    -1.09153911    -0.24427297
   52.00000000     0.63000000     4.71257179     3.61498161    -1.06196315    -0.23768575
   53.00000000     0.64000000     4.70653572     3.61910021    -1.03261490    -0.23125204
   54.00000000     0.65000000     4.70068649     3.62322149    -1.00353950    -0.22495877
   55.00000000     0.66000000     4.69502471     3.62735057    -0.97472396    -0.21880811
   56.00000000     0.67000000     4.68957369     3.63150449    -0.94612990    -0.21281470
   57.00000000     0.68000000     4.68443562     3.63572706    -0.91767555    -0.20702781
   58.00000000     0.69000000     4.67969467     3.64005240    -0.88929735    -0.20148681
   59.00000000     0.70000000     4.67528374     3.64444949    -0.86104790    -0.19615687
   60.00000000     0.71000000     4.67110048     3.64887333    -0.83300283    -0.19098583
   61.00000000     0.72000000     4.66705271     3.65328854    -0.80521391    -0.18592636
   62.00000000     0.73000000     4.66306060     3.65766601    -0.77772051    -0.18093723
   63.00000000     0.74000000     4.65908359     3.66199227    -0.75053635    -0.17599680
   64.00000000     0.75000000     4.65509671     3.66625967    -0.72366628    -0.17109125
   65.00000000     0.76000000     4.65109811     3.67046818    -0.69710524    -0.16621858
   66.00000000     0.77000000     4.64709173     3.67461967    -0.67084575    -0.16137976
