age,mass,teff,Lbol,logg,radius
0.0030,0.002,987,-4.692,3.363,0.1540
0.0030,0.003,1211,-4.304,3.507,0.1599
0.0030,0.004,1399,-4.018,3.596,0.1667
0.0030,0.005,1555,-3.798,3.656,0.1738
0.0030,0.006,1680,-3.628,3.701,0.1810
0.0030,0.007,1791,-3.484,3.735,0.1879
0.0030,0.008,1887,-3.362,3.761,0.1949
0.0030,0.009,1964,-3.263,3.782,0.2017
0.0030,0.010,2036,-3.172,3.800,0.2082
0.0030,0.011,2104,-3.089,3.815,0.2148
0.0030,0.012,2161,-3.016,3.827,0.2213
0.0030,0.013,2210,-2.952,3.837,0.2277
0.0030,0.014,2254,-2.894,3.845,0.2342
0.0030,0.015,2293,-2.840,3.851,0.2406
0.0030,0.016,2329,-2.791,3.856,0.2470
0.0030,0.017,2362,-2.743,3.859,0.2537
0.0030,0.018,2393,-2.697,3.861,0.2607
0.0030,0.019,2422,-2.652,3.860,0.2680
0.0040,0.002,916,-4.844,3.387,0.1500
0.0040,0.003,1125,-4.461,3.536,0.1547
0.0040,0.004,1307,-4.171,3.631,0.1601
0.0040,0.005,1459,-3.950,3.697,0.1658
0.0040,0.006,1593,-3.766,3.746,0.1717
0.0040,0.007,1700,-3.624,3.784,0.1775
0.0040,0.008,1803,-3.495,3.815,0.1832
0.0040,0.009,1889,-3.386,3.839,0.1890
0.0040,0.010,1960,-3.297,3.859,0.1947
0.0040,0.011,2027,-3.214,3.876,0.2002
0.0040,0.012,2093,-3.135,3.890,0.2058
0.0040,0.013,2150,-3.064,3.901,0.2115
0.0040,0.014,2199,-3.001,3.909,0.2174
0.0040,0.015,2245,-2.941,3.915,0.2236
0.0040,0.016,2287,-2.883,3.917,0.2304
0.0040,0.017,2327,-2.825,3.915,0.2379
0.0040,0.018,2364,-2.768,3.911,0.2461
0.0040,0.019,2399,-2.710,3.902,0.2553
0.0040,0.020,2434,-2.652,3.891,0.2653
0.0060,0.002,826,-5.052,3.414,0.1452
0.0060,0.003,1014,-4.676,3.570,0.1487
0.0060,0.004,1177,-4.393,3.671,0.1528
0.0060,0.005,1327,-4.162,3.745,0.1570
0.0060,0.006,1458,-3.975,3.801,0.1612
0.0060,0.007,1575,-3.817,3.845,0.1656
0.0060,0.008,1673,-3.690,3.880,0.1700
0.0060,0.009,1766,-3.574,3.909,0.1743
0.0060,0.010,1849,-3.472,3.933,0.1788
0.0060,0.011,1920,-3.385,3.952,0.1833
0.0060,0.012,1983,-3.308,3.970,0.1877
0.0060,0.013,2048,-3.230,3.982,0.1926
0.0060,0.014,2115,-3.148,3.988,0.1985
0.0060,0.015,2177,-3.065,3.986,0.2060
0.0060,0.016,2236,-2.982,3.977,0.2149
0.0060,0.017,2293,-2.898,3.962,0.2253
0.0060,0.018,2342,-2.819,3.945,0.2364
0.0060,0.019,2385,-2.747,3.928,0.2478
0.0060,0.020,2422,-2.682,3.913,0.2588
0.0080,0.002,762,-5.211,3.433,0.1422
0.0080,0.003,936,-4.837,3.592,0.1450
0.0080,0.004,1088,-4.556,3.698,0.1482
0.0080,0.005,1228,-4.327,3.776,0.1514
0.0080,0.006,1356,-4.137,3.836,0.1548
0.0080,0.007,1472,-3.976,3.885,0.1581
0.0080,0.008,1579,-3.835,3.924,0.1616
0.0080,0.009,1666,-3.722,3.956,0.1651
0.0080,0.010,1751,-3.617,3.983,0.1687
0.0080,0.011,1834,-3.518,4.005,0.1725
0.0080,0.012,1907,-3.428,4.021,0.1769
0.0080,0.013,1977,-3.340,4.030,0.1822
0.0080,0.014,2058,-3.237,4.029,0.1893
0.0080,0.015,2142,-3.126,4.018,0.1986
0.0080,0.016,2215,-3.022,4.000,0.2093
0.0080,0.017,2280,-2.923,3.978,0.2213
0.0080,0.018,2333,-2.838,3.958,0.2330
0.0080,0.019,2378,-2.764,3.940,0.2444
0.0080,0.020,2416,-2.698,3.924,0.2554
0.0100,0.002,716,-5.332,3.446,0.1401
0.0100,0.003,880,-4.959,3.607,0.1424
0.0100,0.004,1024,-4.679,3.716,0.1451
0.0100,0.005,1154,-4.457,3.797,0.1478
0.0100,0.006,1282,-4.258,3.861,0.1505
0.0100,0.007,1390,-4.102,3.912,0.1533
