age,mass,teff,Lbol,logg,radius
0.0030,0.002,998,-4.721,3.411,0.1458
0.0030,0.003,1222,-4.343,3.561,0.1503
0.0030,0.004,1418,-4.057,3.658,0.1552
0.0030,0.005,1589,-3.830,3.727,0.1602
0.0030,0.006,1744,-3.641,3.778,0.1655
0.0030,0.007,1873,-3.489,3.818,0.1708
0.0030,0.008,1987,-3.360,3.848,0.1762
0.0030,0.009,2086,-3.249,3.873,0.1817
0.0030,0.010,2171,-3.154,3.893,0.1872
0.0030,0.011,2244,-3.071,3.910,0.1926
0.0030,0.012,2308,-2.999,3.923,0.1980
0.0030,0.013,2365,-2.933,3.935,0.2033
0.0030,0.014,2416,-2.873,3.945,0.2087
0.0040,0.002,922,-4.879,3.430,0.1426
0.0040,0.003,1131,-4.502,3.585,0.1461
0.0040,0.004,1314,-4.218,3.687,0.1501
0.0040,0.005,1478,-3.990,3.761,0.1541
0.0040,0.006,1627,-3.801,3.817,0.1582
0.0040,0.007,1763,-3.638,3.861,0.1624
0.0040,0.008,1879,-3.505,3.896,0.1668
0.0040,0.009,1983,-3.388,3.925,0.1712
0.0040,0.010,2076,-3.286,3.948,0.1757
0.0040,0.011,2157,-3.197,3.967,0.1804
0.0040,0.012,2228,-3.118,3.982,0.1851
0.0040,0.013,2293,-3.045,3.993,0.1902
0.0040,0.014,2354,-2.974,4.000,0.1957
0.0040,0.015,2413,-2.902,4.001,0.2023
0.0060,0.002,826,-5.093,3.454,0.1388
0.0060,0.003,1015,-4.717,3.613,0.1415
0.0060,0.004,1180,-4.438,3.720,0.1444
0.0060,0.005,1331,-4.211,3.800,0.1473
0.0060,0.006,1470,-4.022,3.862,0.1502
0.0060,0.007,1600,-3.859,3.913,0.1531
0.0060,0.008,1721,-3.714,3.953,0.1562
0.0060,0.009,1829,-3.591,3.987,0.1594
0.0060,0.010,1927,-3.483,4.015,0.1627
0.0060,0.011,2017,-3.384,4.037,0.1663
0.0060,0.012,2101,-3.293,4.055,0.1702
0.0060,0.013,2184,-3.200,4.064,0.1753
0.0060,0.014,2271,-3.098,4.062,0.1824
0.0060,0.015,2360,-2.986,4.047,0.1921
0.0060,0.016,2440,-2.880,4.027,0.2029
0.0080,0.002,759,-5.256,3.470,0.1363
0.0080,0.003,934,-4.881,3.632,0.1385
0.0080,0.004,1087,-4.602,3.742,0.1408
0.0080,0.005,1228,-4.377,3.826,0.1431
0.0080,0.006,1359,-4.188,3.892,0.1452
0.0080,0.007,1481,-4.025,3.945,0.1474
0.0080,0.008,1597,-3.882,3.990,0.1497
0.0080,0.009,1709,-3.750,4.028,0.1521
0.0080,0.010,1810,-3.636,4.059,0.1547
0.0080,0.011,1905,-3.530,4.084,0.1577
0.0080,0.012,2005,-3.418,4.098,0.1619
0.0080,0.013,2110,-3.299,4.103,0.1675
