age,mass,teff,Lbol,logg,radius
0.0030,0.002,998,-4.698,3.389,0.1496
0.0030,0.003,1221,-4.318,3.534,0.1549
0.0030,0.004,1409,-4.036,3.627,0.1608
0.0030,0.005,1571,-3.816,3.692,0.1668
0.0030,0.006,1709,-3.639,3.741,0.1728
0.0030,0.007,1828,-3.493,3.779,0.1786
0.0030,0.008,1932,-3.368,3.808,0.1847
0.0030,0.009,2021,-3.263,3.833,0.1904
0.0030,0.010,2104,-3.166,3.852,0.1963
0.0030,0.011,2174,-3.084,3.868,0.2021
0.0030,0.012,2236,-3.011,3.881,0.2078
0.0030,0.013,2291,-2.945,3.892,0.2136
0.0030,0.014,2339,-2.886,3.901,0.2194
0.0030,0.015,2383,-2.831,3.908,0.2253
0.0030,0.016,2423,-2.778,3.912,0.2315
0.0040,0.002,924,-4.853,3.410,0.1459
0.0040,0.003,1133,-4.474,3.561,0.1502
0.0040,0.004,1312,-4.192,3.659,0.1550
0.0040,0.005,1470,-3.969,3.729,0.1598
0.0040,0.006,1607,-3.788,3.783,0.1646
0.0040,0.007,1728,-3.636,3.825,0.1694
0.0040,0.008,1837,-3.505,3.858,0.1744
0.0040,0.009,1930,-3.396,3.885,0.1792
0.0040,0.010,2015,-3.298,3.907,0.1841
0.0040,0.011,2094,-3.208,3.926,0.1890
0.0040,0.012,2162,-3.130,3.941,0.1940
0.0040,0.013,2223,-3.058,3.953,0.1992
0.0040,0.014,2280,-2.990,3.961,0.2048
0.0040,0.015,2332,-2.924,3.964,0.2113
0.0040,0.016,2381,-2.859,3.963,0.2184
0.0040,0.017,2429,-2.792,3.957,0.2268
0.0060,0.002,830,-5.066,3.436,0.1417
0.0060,0.003,1020,-4.689,3.593,0.1448
0.0060,0.004,1184,-4.409,3.696,0.1484
0.0060,0.005,1331,-4.185,3.773,0.1520
0.0060,0.006,1465,-3.997,3.832,0.1555
0.0060,0.007,1585,-3.842,3.880,0.1590
0.0060,0.008,1696,-3.705,3.918,0.1627
0.0060,0.009,1794,-3.588,3.950,0.1663
0.0060,0.010,1884,-3.483,3.976,0.1700
0.0060,0.011,1964,-3.391,3.998,0.1739
0.0060,0.012,2040,-3.307,4.017,0.1778
0.0060,0.013,2119,-3.216,4.027,0.1828
0.0060,0.014,2194,-3.125,4.029,0.1893
0.0060,0.015,2270,-3.029,4.022,0.1976
0.0060,0.016,2342,-2.930,4.005,0.2081
0.0060,0.017,2403,-2.841,3.988,0.2188
0.0080,0.002,765,-5.226,3.453,0.1389
0.0080,0.003,940,-4.850,3.613,0.1415
0.0080,0.004,1093,-4.571,3.721,0.1443
0.0080,0.005,1232,-4.347,3.801,0.1471
0.0080,0.006,1358,-4.162,3.864,0.1499
0.0080,0.007,1478,-4.000,3.916,0.1526
0.0080,0.008,1586,-3.860,3.958,0.1553
0.0080,0.009,1687,-3.738,3.994,0.1582
0.0080,0.010,1779,-3.629,4.023,0.1612
0.0080,0.011,1866,-3.529,4.047,0.1644
0.0080,0.012,1950,-3.432,4.064,0.1684
0.0080,0.013,2043,-3.322,4.070,0.1740
0.0080,0.014,2144,-3.200,4.064,0.1819
0.0080,0.015,2241,-3.074,4.045,0.1924
0.0080,0.016,2326,-2.957,4.021,0.2043
0.0080,0.017,2394,-2.859,3.999,0.2161
0.0080,0.018,2451,-2.773,3.979,0.2276
0.0100,0.002,718,-5.348,3.465,0.1370
