# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:58 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8000 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 19305'           /                                                
# SPTYPE  = 'M0 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806966 / Minimum wavelength (um)                        
# MAXWAVE =              5.42333 / Maximum wavelength (um)                        
# V       =        9.07200000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =        1.36000000000 / B-V color                                      
# (B-V)ERR=      0.0190000000000 / B-V color error                                
# J       =        6.49200000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        5.84300000000 / 2MASS H magnitude                              
# HERR    =      0.0340000000000 / 2MASS H magnitude error                        
# KS      =        5.64600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0136080000000 / Relative error in the absolute flux calibration
# RV      =       -36.5171400000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.35000000000 / Intrinsic Color                                
# E(B-V)  =     0.00999999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806966                1.23043e-11         2.68245e-14
             0.807168                1.21951e-11         2.67264e-14
             0.807371                1.23971e-11         2.72867e-14
             0.807573                1.24134e-11         2.70142e-14
             0.807776                1.23808e-11         2.69806e-14
             0.807978                1.25501e-11         2.74039e-14
             0.808180                1.25565e-11         2.72363e-14
             0.808383                1.24327e-11         2.73020e-14
             0.808585                1.22602e-11         2.69865e-14
             0.808788                1.22259e-11         2.71340e-14
             0.808990                1.24717e-11         2.73290e-14
             0.809192                1.24971e-11         2.75396e-14
             0.809395                1.23216e-11         2.71724e-14
             0.809597                1.22984e-11         2.73592e-14
             0.809800                1.23800e-11         2.73738e-14
             0.809963                1.23189e-11         2.30949e-14
             0.810196                1.24015e-11         2.26002e-14
             0.810430                1.25364e-11         2.28341e-14
             0.810663                1.25336e-11         2.35814e-14
             0.810896                1.25526e-11         2.49213e-14
             0.811130                1.25286e-11         2.49859e-14
             0.811363                1.24886e-11         2.36261e-14
             0.811596                1.24086e-11         2.28414e-14
             0.811830                1.20445e-11         2.21440e-14
             0.812063                1.22932e-11         2.28210e-14
             0.812297                1.26117e-11         2.41678e-14
             0.812530                1.26080e-11         2.55851e-14
             0.812763                1.25713e-11         2.43695e-14
             0.812996                1.25578e-11         2.31137e-14
             0.813230                1.25186e-11         2.27333e-14
             0.813463                1.23945e-11         2.27067e-14
             0.813696                1.25061e-11         2.37728e-14
             0.813930                1.26058e-11         2.49121e-14
             0.814163                1.25665e-11         2.49378e-14
             0.814396                1.25105e-11         2.38696e-14
             0.814629                1.23922e-11         2.27980e-14
             0.814863                1.24522e-11         2.27161e-14
             0.815096                1.24711e-11         2.32889e-14
             0.815329                1.25561e-11         2.42472e-14
             0.815562                1.25283e-11         2.53450e-14
             0.815796                1.25334e-11         2.45388e-14
             0.816029                1.24223e-11         2.31964e-14
             0.816262                1.20836e-11         2.23116e-14
             0.816495                1.21890e-11         2.32272e-14
             0.816728                1.24335e-11         2.41170e-14
             0.816962                1.25297e-11         2.47748e-14
             0.817195                1.24894e-11         2.52501e-14
             0.817428                1.25091e-11         2.38435e-14
             0.817661                1.25120e-11         2.26033e-14
             0.817894                1.24774e-11         2.27968e-14
             0.818128                1.21836e-11         2.38203e-14
             0.818361                1.10723e-11         2.24982e-14
             0.818594                1.06586e-11         2.24465e-14
             0.818827                1.16317e-11         2.31674e-14
             0.819060                1.21959e-11         2.31738e-14
             0.819293                1.20108e-11         2.21875e-14
             0.819526                1.04661e-11         2.02007e-14
             0.819759                1.01272e-11         2.00988e-14
             0.819992                1.14487e-11         2.25799e-14
             0.820226                1.21143e-11         2.42374e-14
             0.820459                1.22816e-11         2.29707e-14
             0.820692                1.22510e-11         2.19038e-14
             0.820925                1.22417e-11         2.15281e-14
             0.821158                1.22847e-11         2.17534e-14
             0.821391                1.21100e-11         2.24665e-14
             0.821624                1.22020e-11         2.35644e-14
             0.821857                1.23236e-11         2.32372e-14
             0.822090                1.18223e-11         2.25617e-14
             0.822323                1.18034e-11         2.13559e-14
             0.822556                1.23893e-11         2.21243e-14
             0.822789                1.25338e-11         2.29264e-14
             0.823022                1.24695e-11         2.48806e-14
             0.823255                1.23391e-11         2.58416e-14
             0.823488                1.23240e-11         2.43711e-14
             0.823721                1.24256e-11         2.30549e-14
             0.823954                1.23443e-11         2.18228e-14
             0.824187                1.22662e-11         2.17274e-14
             0.824420                1.23980e-11         2.24970e-14
             0.824653                1.24760e-11         2.36627e-14
             0.824886                1.23517e-11         2.32115e-14
             0.825119                1.23548e-11         2.21678e-14
             0.825352                1.23455e-11         2.15757e-14
             0.825585                1.22428e-11         2.15024e-14
             0.825818                1.22077e-11         2.19450e-14
             0.826051                1.24401e-11         2.29066e-14
             0.826283                1.25387e-11         2.37482e-14
             0.826516                1.25367e-11         2.29008e-14
             0.826749                1.25229e-11         2.21332e-14
             0.826982                1.24557e-11         2.14563e-14
             0.827215                1.25516e-11         2.19474e-14
             0.827448                1.24766e-11         2.22058e-14
             0.827681                1.24236e-11         2.36986e-14
             0.827914                1.24522e-11         2.35360e-14
             0.828146                1.25248e-11         2.27041e-14
             0.828379                1.25209e-11         2.21927e-14
             0.828612                1.24701e-11         2.17500e-14
             0.828845                1.24356e-11         2.16794e-14
             0.829078                1.24191e-11         2.27380e-14
             0.829311                1.23513e-11         2.30766e-14
             0.829543                1.22584e-11         2.24892e-14
             0.829776                1.23632e-11         2.20613e-14
             0.830009                1.23863e-11         2.14338e-14
             0.830242                1.24285e-11         2.13667e-14
             0.830475                1.23723e-11         2.19349e-14
             0.830707                1.21163e-11         2.22022e-14
             0.830940                1.20393e-11         2.24824e-14
             0.831173                1.21447e-11         2.16195e-14
             0.831406                1.22665e-11         2.12918e-14
             0.831638                1.23739e-11         2.10974e-14
             0.831871                1.23974e-11         2.14685e-14
             0.832104                1.24020e-11         2.18916e-14
             0.832337                1.23409e-11         2.27213e-14
             0.832569                1.20915e-11         2.22991e-14
             0.832802                1.12836e-11         2.02648e-14
             0.833035                1.13522e-11         2.02443e-14
             0.833268                1.17873e-11         2.04599e-14
             0.833500                1.17464e-11         2.05368e-14
             0.833733                1.19511e-11         2.12229e-14
             0.833966                1.20273e-11         2.18303e-14
             0.834198                1.20046e-11         2.14788e-14
             0.834431                1.22328e-11         2.11120e-14
             0.834664                1.21632e-11         2.06708e-14
             0.834896                1.19862e-11         2.05307e-14
             0.835129                1.20993e-11         2.08241e-14
             0.835362                1.21574e-11         2.14537e-14
             0.835594                1.22007e-11         2.17486e-14
             0.835827                1.23368e-11         2.14063e-14
             0.836060                1.23067e-11         2.09328e-14
             0.836292                1.21204e-11         2.06755e-14
             0.836525                1.17345e-11         2.00828e-14
             0.836757                1.17935e-11         2.05269e-14
             0.836990                1.22688e-11         2.15825e-14
             0.837223                1.23431e-11         2.14065e-14
             0.837455                1.23096e-11         2.09791e-14
             0.837688                1.21970e-11         2.04440e-14
             0.837920                1.18965e-11         2.01772e-14
             0.838153                1.18718e-11         2.02830e-14
             0.838385                1.15375e-11         2.03399e-14
             0.838618                1.14476e-11         2.05949e-14
             0.838851                1.10976e-11         1.96796e-14
             0.839083                1.10747e-11         1.94366e-14
             0.839316                1.19907e-11         2.05244e-14
             0.839548                1.22627e-11         2.03942e-14
             0.839781                1.19605e-11         2.06031e-14
             0.840013                1.20172e-11         2.08485e-14
             0.840246                1.21941e-11         2.12320e-14
             0.840478                1.22496e-11         2.07362e-14
             0.840711                1.23663e-11         2.05780e-14
             0.840943                1.24059e-11         2.04880e-14
             0.841176                1.21858e-11         2.04552e-14
             0.841408                1.17525e-11         2.05398e-14
             0.841641                1.18865e-11         2.07300e-14
             0.841873                1.20715e-11         2.07417e-14
             0.842106                1.21637e-11         2.03991e-14
             0.842338                1.21332e-11         2.00798e-14
             0.842571                1.17540e-11         1.96501e-14
             0.842803                1.14969e-11         1.94950e-14
             0.843036                1.18244e-11         2.01977e-14
             0.843268                1.21777e-11         2.08904e-14
             0.843500                1.14486e-11         1.97203e-14
             0.843733                1.05753e-11         1.83385e-14
             0.843965                1.11164e-11         1.88348e-14
             0.844198                1.17620e-11         1.95685e-14
             0.844430                1.20280e-11         2.00600e-14
             0.844662                1.21848e-11         2.07226e-14
             0.844895                1.24727e-11         2.14994e-14
             0.845127                1.21623e-11         2.04069e-14
             0.845360                1.19943e-11         1.97575e-14
             0.845592                1.21397e-11         1.97770e-14
             0.845824                1.20961e-11         1.97525e-14
             0.846057                1.21319e-11         2.01577e-14
             0.846289                1.21870e-11         2.06210e-14
             0.846521                1.20418e-11         2.01505e-14
             0.846754                1.16427e-11         1.93987e-14
             0.846986                1.10872e-11         1.84929e-14
             0.847218                1.14002e-11         1.89249e-14
             0.847451                1.18647e-11         1.95107e-14
             0.847683                1.20608e-11         2.00541e-14
             0.847915                1.20735e-11         2.02650e-14
             0.848148                1.20692e-11         1.99796e-14
             0.848380                1.19717e-11         1.95188e-14
             0.848612                1.20564e-11         1.95722e-14
             0.848845                1.21089e-11         1.95471e-14
             0.849077                1.21241e-11         1.98099e-14
             0.849309                1.20612e-11         2.00443e-14
             0.849541                1.17189e-11         1.96598e-14
             0.849774                1.05500e-11         1.80334e-14
             0.850006                9.68105e-12         1.69637e-14
             0.850238                1.07619e-11         1.79773e-14
             0.850471                1.16933e-11         1.91164e-14
             0.850703                1.19542e-11         1.95847e-14
             0.850935                1.20216e-11         1.99967e-14
             0.851167                1.20446e-11         1.98471e-14
             0.851399                1.15831e-11         1.90027e-14
             0.851632                1.10791e-11         1.83605e-14
             0.851864                1.12363e-11         1.84345e-14
             0.852096                1.15106e-11         1.88014e-14
             0.852328                1.18742e-11         1.94975e-14
             0.852561                1.18876e-11         1.97662e-14
             0.852793                1.17614e-11         1.94379e-14
             0.853025                1.18025e-11         1.95272e-14
             0.853257                1.17853e-11         1.89782e-14
             0.853489                1.16404e-11         1.87358e-14
             0.853721                1.12942e-11         1.85567e-14
             0.853954                1.05097e-11         1.79598e-14
             0.854186                8.72563e-12         1.59638e-14
             0.854418                7.66933e-12         1.45902e-14
