#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =      5.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     3.96123410     3.49181039    -1.52345762    -0.22209452
    2.00000000     0.13000000     3.96583792     3.49490925    -1.48099742    -0.20706289
    3.00000000     0.14000000     3.96872266     3.49778810    -1.44009297    -0.19236633
    4.00000000     0.15000000     3.97111396     3.50048399    -1.40160441    -0.17851063
    5.00000000     0.16000000     3.97341457     3.50302292    -1.36562891    -0.16559727
    6.00000000     0.17000000     3.97582148     3.50542810    -1.33207286    -0.15362663
    7.00000000     0.18000000     3.97853169     3.50772276    -1.30084269    -0.14259912
    8.00000000     0.19000000     3.98174221     3.50993011    -1.27184479    -0.13251511
    9.00000000     0.20000000     3.98565002     3.51207337    -1.24498558    -0.12337501
   10.00000000     0.21000000     3.98988010     3.51416555    -1.21966792    -0.11490605
   11.00000000     0.22000000     3.99176919     3.51617875    -1.19328058    -0.10574280
   12.00000000     0.23000000     3.98951053     3.51809178    -1.16406053    -0.09495765
   13.00000000     0.24000000     3.98701141     3.51995111    -1.13565167    -0.08446688
   14.00000000     0.25000000     3.98818722     3.52180597    -1.11168985    -0.07619009
   15.00000000     0.26000000     3.99127163     3.52364909    -1.09037165    -0.06921642
   16.00000000     0.27000000     3.99375522     3.52546486    -1.06919316    -0.06226575
   17.00000000     0.28000000     3.99583774     3.52726112    -1.04828768    -0.05541128
   18.00000000     0.29000000     3.99821163     3.52904943    -1.02826951    -0.04897494
   19.00000000     0.30000000     4.00083077     3.53083276    -1.00903973    -0.04292038
   20.00000000     0.31000000     4.00351113     3.53261172    -0.99037059    -0.03714324
   21.00000000     0.32000000     4.00625550     3.53438600    -0.97223216    -0.03162541
   22.00000000     0.33000000     4.00910129     3.53615489    -0.95463421    -0.02636654
   23.00000000     0.34000000     4.01203777     3.53791704    -0.93754733    -0.02135082
   24.00000000     0.35000000     4.01503972     3.53967187    -0.92092895    -0.01655683
