#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =     50.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.70356754     3.49167182    -2.26637024    -0.59326067
    2.00000000     0.13000000     4.70249154     3.49562412    -2.21481255    -0.57538629
    3.00000000     0.14000000     4.70121347     3.49919446    -2.16696933    -0.55860970
    4.00000000     0.15000000     4.69986672     3.50242791    -2.12258195    -0.54288796
    5.00000000     0.16000000     4.69850550     3.50536533    -2.08134158    -0.52814709
    6.00000000     0.17000000     4.69716422     3.50804655    -2.04292679    -0.51430537
    7.00000000     0.18000000     4.69587732     3.51051138    -2.00701619    -0.50128106
    8.00000000     0.19000000     4.69467920     3.51279966    -1.97328835    -0.48899243
    9.00000000     0.20000000     4.69360429     3.51495121    -1.94142188    -0.47735775
   10.00000000     0.21000000     4.69262956     3.51699917    -1.91108959    -0.46628058
   11.00000000     0.22000000     4.69150220     3.51895000    -1.88194129    -0.45560564
   12.00000000     0.23000000     4.69004694     3.52080640    -1.85374103    -0.44522489
   13.00000000     0.24000000     4.68862842     3.52258270    -1.82673302    -0.43527786
   14.00000000     0.25000000     4.68761418     3.52429351    -1.80115876    -0.42590471
   15.00000000     0.26000000     4.68684346     3.52594292    -1.77676885    -0.41700027
   16.00000000     0.27000000     4.68608650     3.52753371    -1.75325644    -0.40842822
   17.00000000     0.28000000     4.68536576     3.52907398    -1.73057585    -0.40017288
   18.00000000     0.29000000     4.68474216     3.53057316    -1.70871862    -0.39223919
   19.00000000     0.30000000     4.68417807     3.53204063    -1.68756427    -0.38459403
   20.00000000     0.31000000     4.68362211     3.53348415    -1.66698693    -0.37719878
   21.00000000     0.32000000     4.68306647     3.53490501    -1.64695140    -0.37003074
   22.00000000     0.33000000     4.68250853     3.53630406    -1.62743271    -0.36307017
   23.00000000     0.34000000     4.68192311     3.53768672    -1.60835625    -0.35629320
   24.00000000     0.35000000     4.68128436     3.53905869    -1.58964494    -0.34967742
   25.00000000     0.36000000     4.68058657     3.54042230    -1.57126146    -0.34321033
   26.00000000     0.37000000     4.67982679     3.54178025    -1.55317140    -0.33688077
   27.00000000     0.38000000     4.67899319     3.54314023    -1.53531226    -0.33067282
   28.00000000     0.39000000     4.67807137     3.54451016    -1.51762108    -0.32456999
   29.00000000     0.40000000     4.67704568     3.54589375    -1.50006130    -0.31855815
   30.00000000     0.41000000     4.67590466     3.54729313    -1.48260577    -0.31262579
   31.00000000     0.42000000     4.67465490     3.54870807    -1.46523861    -0.30676944
   32.00000000     0.43000000     4.67330484     3.55013913    -1.44794272    -0.30098648
   33.00000000     0.44000000     4.67185238     3.55159220    -1.43068491    -0.29526930
   34.00000000     0.45000000     4.67028932     3.55307372    -1.41342714    -0.28960771
   35.00000000     0.46000000     4.66859383     3.55458686    -1.39612817    -0.28398602
   36.00000000     0.47000000     4.66674406     3.55613480    -1.37874631    -0.27838926
   37.00000000     0.48000000     4.66473194     3.55772390    -1.36124126    -0.27281097
   38.00000000     0.49000000     4.66255262     3.55936180    -1.34356830    -0.26724591
   39.00000000     0.50000000     4.66020063     3.56105812    -1.32566351    -0.26168531
   40.00000000     0.51000000     4.65766854     3.56282423    -1.30745731    -0.25611924
   41.00000000     0.52000000     4.65494184     3.56467668    -1.28887680    -0.25053675
   42.00000000     0.53000000     4.65201061     3.56663130    -1.26985728    -0.24493070
   43.00000000     0.54000000     4.64889028     3.56869613    -1.25037026    -0.23931014
   44.00000000     0.55000000     4.64559507     3.57088063    -1.23037642    -0.23368217
   45.00000000     0.56000000     4.64210894     3.57320771    -1.20975682    -0.22802979
   46.00000000     0.57000000     4.63841720     3.57570353    -1.18838496    -0.22233757
   47.00000000     0.58000000     4.63454089     3.57839384    -1.16618370    -0.21662045
   48.00000000     0.59000000     4.63051114     3.58130413    -1.14308652    -0.21089821
   49.00000000     0.60000000     4.62636369     3.58445945    -1.11902003    -0.20517976
   50.00000000     0.61000000     4.62211877     3.58786755    -1.09396354    -0.19946596
   51.00000000     0.62000000     4.61773022     3.59146728    -1.06811392    -0.19373651
   52.00000000     0.63000000     4.61315813     3.59522493    -1.04156527    -0.18797523
   53.00000000     0.64000000     4.60845415     3.59928531    -1.01378291    -0.18220355
   54.00000000     0.65000000     4.60370117     3.60379812    -0.98424407    -0.17645799
   55.00000000     0.66000000     4.59901552     3.60875398    -0.95310239    -0.17079776
   56.00000000     0.67000000     4.59449248     3.61409277    -0.92069459    -0.16527205
   57.00000000     0.68000000     4.59010966     3.61971032    -0.88741338    -0.15986732
   58.00000000     0.69000000     4.58585815     3.62554616    -0.85348794    -0.15457559
   59.00000000     0.70000000     4.58190053     3.63175874    -0.81843736    -0.14947389
   60.00000000     0.71000000     4.57842239     3.63849016    -0.78186995    -0.14465188
   61.00000000     0.72000000     4.57552983     3.64559842    -0.74446094    -0.14016471
   62.00000000     0.73000000     4.57329354     3.65287473    -0.70711945    -0.13605078
   63.00000000     0.74000000     4.57172196     3.66012738    -0.67062317    -0.13231598
   64.00000000     0.75000000     4.57080169     3.66719511    -0.63560502    -0.12895421
   65.00000000     0.76000000     4.57049398     3.67402127    -0.60225036    -0.12594405
   66.00000000     0.77000000     4.57075375     3.68057536    -0.57063263    -0.12326025
   67.00000000     0.78000000     4.57153593     3.68682691    -0.54082530    -0.12087756
   68.00000000     0.79000000     4.57279543     3.69274542    -0.51290182    -0.11877073
   69.00000000     0.80000000     4.57448719     3.69830041    -0.48693563    -0.11691451
   70.00000000     0.81000000     4.57656613     3.70346138    -0.46300020    -0.11528365
   71.00000000     0.82000000     4.57898716     3.70819785    -0.44116898    -0.11385290
   72.00000000     0.83000000     4.58170521     3.71247933    -0.42151542    -0.11259701
   73.00000000     0.84000000     4.58467522     3.71627533    -0.40411298    -0.11149074
   74.00000000     0.85000000     4.58785209     3.71955536    -0.38903510    -0.11050882
   75.00000000     0.86000000     4.59119075     3.72228894    -0.37635525    -0.10962602
   76.00000000     0.87000000     4.59464614     3.72444557    -0.36614688    -0.10881707
   77.00000000     0.88000000     4.59817316     3.72599478    -0.35848345    -0.10805674
   78.00000000     0.89000000     4.60172675     3.72690606    -0.35343839    -0.10731977
