#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =    140.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.99144990     3.48534359    -2.57953734    -0.73720406
    2.00000000     0.13000000     4.98994579     3.49061567    -2.52228338    -0.71911682
    3.00000000     0.14000000     4.98786614     3.49526295    -2.46933524    -0.70193829
    4.00000000     0.15000000     4.98533323     3.49936448    -2.42028971    -0.68562161
    5.00000000     0.16000000     4.98243792     3.50299165    -2.37475430    -0.67011177
    6.00000000     0.17000000     4.97926316     3.50621392    -2.33233922    -0.65535177
    7.00000000     0.18000000     4.97589195     3.50910077    -2.29265465    -0.64128458
    8.00000000     0.19000000     4.97240724     3.51172166    -2.25531079    -0.62785317
    9.00000000     0.20000000     4.96889203     3.51414605    -2.21991784    -0.61500052
   10.00000000     0.21000000     4.96540093     3.51643084    -2.18613150    -0.60266873
   11.00000000     0.22000000     4.96187523     3.51858272    -2.15378950    -0.59079640
   12.00000000     0.23000000     4.95827138     3.52060097    -2.12279568    -0.57933898
   13.00000000     0.24000000     4.95471983     3.52250559    -2.09313627    -0.56832271
   14.00000000     0.25000000     4.95134302     3.52431816    -2.06478157    -0.55776898
   15.00000000     0.26000000     4.94805734     3.52604575    -2.03755584    -0.54760867
   16.00000000     0.27000000     4.94476423     3.52769496    -2.01127485    -0.53776810
   17.00000000     0.28000000     4.94151152     3.52928502    -1.98586647    -0.52824578
   18.00000000     0.29000000     4.93832642     3.53083972    -1.96122338    -0.51903157
   19.00000000     0.30000000     4.93500736     3.53238866    -1.93698537    -0.51000868
   20.00000000     0.31000000     4.93134197     3.53395736    -1.91280086    -0.50105628
   21.00000000     0.32000000     4.92730359     3.53554905    -1.88860549    -0.49214406
   22.00000000     0.33000000     4.92291508     3.53716321    -1.86440091    -0.48326723
   23.00000000     0.34000000     4.91821194     3.53880638    -1.84016556    -0.47443278
   24.00000000     0.35000000     4.91322082     3.54048703    -1.81586182    -0.46564403
   25.00000000     0.36000000     4.90792031     3.54221417    -1.79141109    -0.45687807
   26.00000000     0.37000000     4.90228304     3.54399764    -1.76673019    -0.44810948
   27.00000000     0.38000000     4.89630586     3.54584993    -1.74175867    -0.43932919
   28.00000000     0.39000000     4.88998579     3.54778150    -1.71644204    -0.43052904
   29.00000000     0.40000000     4.88329623     3.54979213    -1.69072687    -0.42168812
