#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =   1000.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     5.18777000     3.47556000    -2.81499036    -0.83536000
    2.00000000     0.13000000     5.16551878     3.48367741    -2.72561311    -0.80690137
    3.00000000     0.14000000     5.14579000     3.49045000    -2.64652152    -0.78090000
    4.00000000     0.15000000     5.12827519     3.49608252    -2.57637636    -0.75709322
    5.00000000     0.16000000     5.11269407     3.50075596    -2.51397466    -0.73524054
    6.00000000     0.17000000     5.09877342     3.50464537    -2.45814751    -0.71510703
    7.00000000     0.18000000     5.08624001     3.50792582    -2.40772597    -0.69645774
    8.00000000     0.19000000     5.07482063     3.51077234    -2.36154113    -0.67905772
    9.00000000     0.20000000     5.06424204     3.51336000    -2.31842408    -0.66267204
   10.00000000     0.21000000     5.05428069     3.51582523    -2.27743526    -0.64710411
   11.00000000     0.22000000     5.04491177     3.51815000    -2.23855266    -0.63231089
   12.00000000     0.23000000     5.03613946     3.52029496    -2.20188860    -0.61827240
   13.00000000     0.24000000     5.02788526     3.52229000    -2.16717526    -0.60490763
   14.00000000     0.25000000     5.02005744     3.52417494    -2.13408774    -0.59212821
   15.00000000     0.26000000     5.01259400     3.52596000    -2.10245314    -0.57987743
   16.00000000     0.27000000     5.00545081     3.52765154    -2.07214063    -0.56811103
   17.00000000     0.28000000     4.99862576     3.52927000    -2.04303576    -0.55680288
   18.00000000     0.29000000     4.99208999     3.53083140    -2.01501797    -0.54591441
   19.00000000     0.30000000     4.98566582     3.53232000    -1.98792582    -0.53533910
   20.00000000     0.31000000     4.97928490     3.53373287    -1.96165535    -0.52502712
   21.00000000     0.32000000     4.97346515     3.53515000    -1.93637349    -0.51522340
   22.00000000     0.33000000     4.96785203     3.53662732    -1.91147670    -0.50573684
   23.00000000     0.34000000     4.95801504     3.53804170    -1.88300880    -0.49433738
   24.00000000     0.35000000     4.94109586     3.53929648    -1.84848034    -0.47958209
   25.00000000     0.36000000     4.92460087     3.54058000    -1.81462144    -0.46521544
   26.00000000     0.37000000     4.91580691     3.54208621    -1.78790909    -0.45486819
   27.00000000     0.38000000     4.91070800     3.54374661    -1.76458816    -0.44652900
   28.00000000     0.39000000     4.90391200     3.54545460    -1.73967328    -0.43749289
