#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =  10000.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     5.18687046     3.47607985    -2.81201154    -0.83491031
    2.00000000     0.13000000     5.16444982     3.48420009    -2.72245003    -0.80636424
    3.00000000     0.14000000     5.14423479     3.49098577    -2.64281958    -0.78011845
    4.00000000     0.15000000     5.12587925     3.49663807    -2.57175483    -0.75589138
    5.00000000     0.16000000     5.10909139     3.50133552    -2.50805039    -0.73343640
    6.00000000     0.17000000     5.09359299     3.50525099    -2.45054085    -0.71251563
    7.00000000     0.18000000     5.07910584     3.50855738    -2.39806079    -0.69289119
    8.00000000     0.19000000     5.06535170     3.51142756    -2.34944481    -0.67432521
    9.00000000     0.20000000     5.05205236     3.51403442    -2.30352749    -0.65657979
   10.00000000     0.21000000     5.03901621     3.51651294    -2.25940751    -0.63947392
   11.00000000     0.22000000     5.02639808     3.51884662    -2.21723990    -0.62305404
   12.00000000     0.23000000     5.01439057     3.52099718    -2.17732245    -0.60739471
   13.00000000     0.24000000     5.00299096     3.52299083    -2.13946764    -0.59245548
   14.00000000     0.25000000     4.99215598     3.52486531    -2.10340096    -0.57817432
   15.00000000     0.26000000     4.98187571     3.52664012    -2.06898528    -0.56451786
   16.00000000     0.27000000     4.97215187     3.52832903    -2.03612276    -0.55146180
   17.00000000     0.28000000     4.96299955     3.52994121    -2.00473532    -0.53898947
   18.00000000     0.29000000     4.95439526     3.53148459    -1.97471452    -0.52706654
   19.00000000     0.30000000     4.94614784     3.53296676    -1.94581054    -0.51558054
   20.00000000     0.31000000     4.93819101     3.53439688    -1.91789557    -0.50448276
   21.00000000     0.32000000     4.93112589     3.53579080    -1.89147107    -0.49405754
   22.00000000     0.33000000     4.92521804     3.53715087    -1.86675732    -0.48442208
   23.00000000     0.34000000     4.91872351     3.53841882    -1.84222056    -0.47469175
   24.00000000     0.35000000     4.91014808     3.53957308    -1.81643357    -0.46410803
   25.00000000     0.36000000     4.90100625     3.54079929    -1.79014909    -0.45341848
   26.00000000     0.37000000     4.89300534     3.54227179    -1.76435823    -0.44346774
   27.00000000     0.38000000     4.88561546     3.54391249    -1.73882550    -0.43398273
   28.00000000     0.39000000     4.87794313     3.54560730    -1.71309693    -0.42450860
   29.00000000     0.40000000     4.86987794     3.54735067    -1.68707126    -0.41498130
   30.00000000     0.41000000     4.86149210     3.54916059    -1.66073362    -0.40542829
