# logAge Mass logTe Mbol logg C/O
-0.5673762389 50.0000000000 3.6484000000 -9.4519000000 -0.0121899957 0.0000000000
-0.5397159220 50.0000000000 3.6484162206 -9.4513583925 -0.0119084704 0.0000000000
-0.5120557388 50.0000000000 3.6484348833 -9.4507783605 -0.0116018067 0.0000000000
-0.4843956999 50.0000000000 3.6484570645 -9.4501569061 -0.0112645001 0.0000000000
-0.4567358176 50.0000000000 3.6484837116 -9.4494908345 -0.0108914832 0.0000000000
-0.4290761575 50.0000000000 3.6485127068 -9.4487722734 -0.0104880778 0.0000000000
-0.4014167932 50.0000000000 3.6485398012 -9.4479949947 -0.0100687889 0.0000000000
-0.3737573920 50.0000000000 3.6485695356 -9.4472103221 -0.0096359820 0.0000000000
-0.3460978597 50.0000000000 3.6486063730 -9.4464320222 -0.0091773127 0.0000000000
-0.3184399830 50.0000000000 3.6486348891 -9.4453920496 -0.0086472591 0.0000000000
-0.2907842527 50.0000000000 3.6486496135 -9.4440178284 -0.0080386731 0.0000000000
-0.2631276350 50.0000000000 3.6486750554 -9.4427676184 -0.0074368215 0.0000000000
-0.2354695352 50.0000000000 3.6487175850 -9.4417380564 -0.0068548782 0.0000000000
-0.2078121339 50.0000000000 3.6487622185 -9.4406107230 -0.0062254110 0.0000000000
-0.1801553327 50.0000000000 3.6488087171 -9.4393810878 -0.0055475624 0.0000000000
-0.1524984793 50.0000000000 3.6488616833 -9.4381423343 -0.0048401962 0.0000000000
-0.1248442350 50.0000000000 3.6489093128 -9.4366199290 -0.0040407162 0.0000000000
-0.0971935845 50.0000000000 3.6489471286 -9.4347125062 -0.0031264839 0.0000000000
-0.0695422255 50.0000000000 3.6489948486 -9.4328787153 -0.0022020873 0.0000000000
-0.0418885818 50.0000000000 3.6490597325 -9.4312736577 -0.0013005286 0.0000000000
-0.0142349145 50.0000000000 3.6491318613 -9.4296418992 -0.0003593100 0.0000000000
0.0134149797 50.0000000000 3.6491978665 -9.4276829300 0.0006882985 0.0000000000
0.0410586095 50.0000000000 3.6492505462 -9.4252329394 0.0018790134 0.0000000000
0.0687026883 50.0000000000 3.6493167016 -9.4227989386 0.0031172353 0.0000000000
0.0963504462 50.0000000000 3.6494100467 -9.4206415340 0.0043535777 0.0000000000
0.1239923223 50.0000000000 3.6494964882 -9.4181032976 0.0057146383 0.0000000000
0.1516279691 50.0000000000 3.6495732870 -9.4151312956 0.0072106342 0.0000000000
0.1792676585 50.0000000000 3.6496748766 -9.4123903043 0.0087133889 0.0000000000
0.2069055676 50.0000000000 3.6497850443 -9.4095848803 0.0102762293 0.0000000000
0.2345309899 50.0000000000 3.6498718436 -9.4060986272 0.0120179279 0.0000000000
0.2621559561 50.0000000000 3.6499737319 -9.4025467086 0.0138462485 0.0000000000
0.2897870323 50.0000000000 3.6501145003 -9.3993131346 0.0157027517 0.0000000000
0.3174041020 50.0000000000 3.6502400782 -9.3954756979 0.0177400381 0.0000000000
0.3450070388 50.0000000000 3.6503483345 -9.3909863370 0.0199688075 0.0000000000
0.3726200270 50.0000000000 3.6505022771 -9.3868926996 0.0222220331 0.0000000000
0.4002315994 50.0000000000 3.6506788536 -9.3827949268 0.0245674481 0.0000000000
0.4278157727 50.0000000000 3.6508187854 -9.3776804564 0.0271729636 0.0000000000
0.4553872730 50.0000000000 3.6509563295 -9.3720932753 0.0299580123 0.0000000000
0.4829624263 50.0000000000 3.6511299024 -9.3666585541 0.0328261923 0.0000000000
0.5105311681 50.0000000000 3.6513184574 -9.3610396078 0.0358279910 0.0000000000
0.5380864698 50.0000000000 3.6515095348 -9.3550101514 0.0390040831 0.0000000000
0.5656297099 50.0000000000 3.6517112919 -9.3486487757 0.0423556618 0.0000000000
0.5931607850 50.0000000000 3.6519248807 -9.3419711234 0.0458810776 0.0000000000
0.6206774246 50.0000000000 3.6521491330 -9.3349326677 0.0495934694 0.0000000000
0.6481759665 50.0000000000 3.6523850738 -9.3274678861 0.0535231452 0.0000000000
0.6756563006 50.0000000000 3.6526324259 -9.3195969615 0.0576609233 0.0000000000
0.7031176877 50.0000000000 3.6528937946 -9.3113262258 0.0620146925 0.0000000000
0.7305575250 50.0000000000 3.6531638067 -9.3026216538 0.0665765696 0.0000000000
0.7579733730 50.0000000000 3.6534415376 -9.2934582605 0.0713528505 0.0000000000
0.7853641691 50.0000000000 3.6537406620 -9.2838421375 0.0763957974 0.0000000000
0.8127277034 50.0000000000 3.6540443780 -9.2737535658 0.0816460899 0.0000000000
0.8400599637 50.0000000000 3.6543713907 -9.2631527468 0.0871944683 0.0000000000
0.8673588299 50.0000000000 3.6547015036 -9.2520278096 0.0929648948 0.0000000000
0.8946240326 50.0000000000 3.6550463504 -9.2404009469 0.0989950271 0.0000000000
0.9218547915 50.0000000000 3.6554121001 -9.2282841815 0.1053047322 0.0000000000
0.9490493176 50.0000000000 3.6558009812 -9.2156732289 0.1119046375 0.0000000000
0.9762003875 50.0000000000 3.6561924031 -9.2024908432 0.1187432794 0.0000000000
1.0033076137 50.0000000000 3.6566068953 -9.1887598778 0.1258936345 0.0000000000
1.0303608494 50.0000000000 3.6570257476 -9.1743806525 0.1333207336 0.0000000000
1.0573678862 50.0000000000 3.6574604840 -9.1594706953 0.1410236624 0.0000000000
1.0843271050 50.0000000000 3.6579201731 -9.1440337935 0.1490371795 0.0000000000
1.1112333886 50.0000000000 3.6583978134 -9.1280334592 0.1573478744 0.0000000000
1.1380824449 50.0000000000 3.6588897104 -9.1114462292 0.1659503542 0.0000000000
1.1648677524 50.0000000000 3.6593849134 -9.0942270025 0.1748188569 0.0000000000
1.1915939940 50.0000000000 3.6599083641 -9.0764486013 0.1840240200 0.0000000000
1.2182627012 50.0000000000 3.6604459734 -9.0581410586 0.1934974746 0.0000000000
1.2448693613 50.0000000000 3.6609971731 -9.0392796960 0.2032468185 0.0000000000
1.2714103397 50.0000000000 3.6615727258 -9.0198529843 0.2133197140 0.0000000000
1.2978881113 50.0000000000 3.6621623962 -8.9998972682 0.2236606817 0.0000000000
1.3243035199 50.0000000000 3.6627787479 -8.9794363376 0.2343104610 0.0000000000
1.3506434501 50.0000000000 3.6634098845 -8.9583791492 0.2452578828 0.0000000000
1.3769123155 50.0000000000 3.6640424698 -8.9367743265 0.2564301529 0.0000000000
1.4031185195 50.0000000000 3.6647015924 -8.9147036435 0.2678949167 0.0000000000
1.4292607313 50.0000000000 3.6653835865 -8.8921679496 0.2796371706 0.0000000000
1.4553250764 50.0000000000 3.6660796114 -8.8690783345 0.2916571160 0.0000000000
1.4813092833 50.0000000000 3.6667816012 -8.8454320873 0.3039235743 0.0000000000
1.5072296594 50.0000000000 3.6674917471 -8.8213530297 0.3163957809 0.0000000000
1.5330878480 50.0000000000 3.6682391747 -8.7968666044 0.3291800613 0.0000000000
1.5588664067 50.0000000000 3.6689968943 -8.7718629819 0.3422123888 0.0000000000
1.5845616874 50.0000000000 3.6697559431 -8.7463293574 0.3554620338 0.0000000000
1.6101889936 50.0000000000 3.6705259576 -8.7203742563 0.3689241321 0.0000000000
1.6357414567 50.0000000000 3.6713106456 -8.6939647772 0.3826266759 0.0000000000
1.6612131594 50.0000000000 3.6720971598 -8.6670726754 0.3965295733 0.0000000000
1.6866095157 50.0000000000 3.6728962287 -8.6397407256 0.4106586289 0.0000000000
1.7119365120 50.0000000000 3.6737051121 -8.6120112909 0.4249859365 0.0000000000
1.7371833631 50.0000000000 3.6745231413 -8.5838304498 0.4395303894 0.0000000000
1.7623559429 50.0000000000 3.6753371860 -8.5552367206 0.4542240600 0.0000000000
1.7874712322 50.0000000000 3.6761710332 -8.5263332500 0.4691208371 0.0000000000
1.8125114113 50.0000000000 3.6769998544 -8.4970244017 0.4841596614 0.0000000000
1.8374869024 50.0000000000 3.6778380654 -8.4673745135 0.4993724604 0.0000000000
1.8624003332 50.0000000000 3.6786871485 -8.4374016241 0.5147579487 0.0000000000
1.8872509604 50.0000000000 3.6795346325 -8.4071044796 0.5302667426 0.0000000000
1.9120548455 50.0000000000 3.6803898456 -8.3765702556 0.5459012845 0.0000000000
1.9368184802 50.0000000000 3.6812413418 -8.3458317464 0.5616026730 0.0000000000
1.9615371655 50.0000000000 3.6820960804 -8.3148685016 0.5774069252 0.0000000000
1.9862458955 50.0000000000 3.6829667800 -8.2838584115 0.5932937599 0.0000000000
2.0109409392 50.0000000000 3.6838249619 -8.2527780350 0.6091586378 0.0000000000
2.0356328443 50.0000000000 3.6846979334 -8.2216846298 0.6250878859 0.0000000000
2.0603574200 50.0000000000 3.6855691546 -8.1907537440 0.6409451251 0.0000000000
2.0851153864 50.0000000000 3.6864477643 -8.1599915686 0.6567644343 0.0000000000
2.1099162656 50.0000000000 3.6873231027 -8.1294456220 0.6724841662 0.0000000000
2.1348735430 50.0000000000 3.6882080402 -8.0997357846 0.6879078514 0.0000000000
2.1597751380 50.0000000000 3.6890896675 -8.0697503322 0.7034285413 0.0000000000
2.1849528237 50.0000000000 3.6899915022 -8.0412230003 0.7184468130 0.0000000000
2.2102040884 50.0000000000 3.6908995561 -8.0130849723 0.7333342399 0.0000000000
2.2355964968 50.0000000000 3.6918111881 -7.9858033168 0.7478934301 0.0000000000
2.2612756164 50.0000000000 3.6927347208 -7.9602427218 0.7618117990 0.0000000000
2.2871063034 50.0000000000 3.6936485418 -7.9356650301 0.7752981594 0.0000000000
2.3133844098 50.0000000000 3.6946128910 -7.9142071495 0.7877387085 0.0000000000
2.3399330581 50.0000000000 3.6955820304 -7.8949557514 0.7993158254 0.0000000000
2.3668549574 50.0000000000 3.6965784808 -7.8793963503 0.8095253875 0.0000000000
2.3941479839 50.0000000000 3.6976228625 -7.8685658535 0.8180351130 0.0000000000
2.4217057319 50.0000000000 3.6987014555 -7.8636122633 0.8243309209 0.0000000000
2.4492941933 50.0000000000 3.6998203353 -7.8668430202 0.8275141373 0.0000000000
2.4764427231 50.0000000000 3.7009718635 -7.8795233209 0.8270481300 0.0000000000
2.5020993582 50.0000000000 3.7021778441 -7.9046681487 0.8218141211 0.0000000000
2.5255386620 50.0000000000 3.7034019229 -7.9408697813 0.8122297833 0.0000000000
2.5457416595 50.0000000000 3.7046552016 -7.9878555030 0.7984486096 0.0000000000
2.5598604059 50.0000000000 3.7062692332 -8.0470536753 0.7812254672 0.0000000000
2.5704534919 50.0000000000 3.7083718001 -8.1107154488 0.7641710254 0.0000000000
2.5816742028 50.0000000000 3.7111192780 -8.1735269077 0.7500363533 0.0000000000
2.5950232440 50.0000000000 3.7145712136 -8.2334544242 0.7398730889 0.0000000000
2.6098474743 50.0000000000 3.7186412852 -8.2909374229 0.7331601761 0.0000000000
2.6252230926 50.0000000000 3.7228905945 -8.3474322312 0.7275594899 0.0000000000
2.6407378915 50.0000000000 3.7272635889 -8.4036297409 0.7225724635 0.0000000000
2.6562517072 50.0000000000 3.7317678254 -8.4597641712 0.7181356373 0.0000000000
