# logAge Mass logTe Mbol logg C/O
3.1002740245 0.6500000000 3.6346200000 0.8027000000 2.1484733566 0.0000000000
3.1111011575 0.6500000000 3.6346205674 0.8027075323 2.1484786391 0.0000000000
3.1219282908 0.6500000000 3.6346211875 0.8027151335 2.1484841599 0.0000000000
3.1327554245 0.6500000000 3.6346218561 0.8027228959 2.1484899394 0.0000000000
3.1435825584 0.6500000000 3.6346225691 0.8027309120 2.1484959977 0.0000000000
3.1544096925 0.6500000000 3.6346233222 0.8027392743 2.1485023553 0.0000000000
3.1652368268 0.6500000000 3.6346241114 0.8027480752 2.1485090325 0.0000000000
3.1760639612 0.6500000000 3.6346249325 0.8027574072 2.1485160496 0.0000000000
3.1868910955 0.6500000000 3.6346257813 0.8027673627 2.1485234269 0.0000000000
3.1977182299 0.6500000000 3.6346266536 0.8027780341 2.1485311847 0.0000000000
3.2085453642 0.6500000000 3.6346275453 0.8027895139 2.1485393434 0.0000000000
3.2193724983 0.6500000000 3.6346284522 0.8028018945 2.1485479233 0.0000000000
3.2301996323 0.6500000000 3.6346293702 0.8028152684 2.1485569447 0.0000000000
3.2410267660 0.6500000000 3.6346302950 0.8028297280 2.1485664279 0.0000000000
3.2518538993 0.6500000000 3.6346312226 0.8028453658 2.1485763932 0.0000000000
3.2626810323 0.6500000000 3.6346321487 0.8028622743 2.1485868610 0.0000000000
3.2735081649 0.6500000000 3.6346330692 0.8028805457 2.1485978516 0.0000000000
3.2843352970 0.6500000000 3.6346339799 0.8029002727 2.1486093852 0.0000000000
3.2951624286 0.6500000000 3.6346348767 0.8029215476 2.1486214823 0.0000000000
3.3059895595 0.6500000000 3.6346357553 0.8029444630 2.1486341632 0.0000000000
3.3168166898 0.6500000000 3.6346366117 0.8029691111 2.1486474480 0.0000000000
3.3276438194 0.6500000000 3.6346374417 0.8029955846 2.1486613573 0.0000000000
3.3384709482 0.6500000000 3.6346382411 0.8030239757 2.1486759113 0.0000000000
3.3492980762 0.6500000000 3.6346390057 0.8030543771 2.1486911303 0.0000000000
3.3601252032 0.6500000000 3.6346397314 0.8030868811 2.1487070346 0.0000000000
3.3709523294 0.6500000000 3.6346404150 0.8031215826 2.1487236497 0.0000000000
3.3817794544 0.6500000000 3.6346410683 0.8031586109 2.1487410744 0.0000000000
3.3926065781 0.6500000000 3.6346417141 0.8031981210 2.1487594613 0.0000000000
3.4034337002 0.6500000000 3.6346423752 0.8032402683 2.1487789646 0.0000000000
3.4142608205 0.6500000000 3.6346430746 0.8032852084 2.1487997384 0.0000000000
3.4250879388 0.6500000000 3.6346438354 0.8033330968 2.1488219369 0.0000000000
3.4359150549 0.6500000000 3.6346446805 0.8033840890 2.1488457142 0.0000000000
3.4467421685 0.6500000000 3.6346456329 0.8034383404 2.1488712244 0.0000000000
3.4575692793 0.6500000000 3.6346467156 0.8034960067 2.1488986216 0.0000000000
3.4683963873 0.6500000000 3.6346479515 0.8035572432 2.1489280599 0.0000000000
3.4792234920 0.6500000000 3.6346493636 0.8036222055 2.1489596935 0.0000000000
3.4900505934 0.6500000000 3.6346509745 0.8036910499 2.1489936747 0.0000000000
3.5008776908 0.6500000000 3.6346527989 0.8037639439 2.1490301297 0.0000000000
3.5117047838 0.6500000000 3.6346548453 0.8038410640 2.1490691635 0.0000000000
3.5225318715 0.6500000000 3.6346571223 0.8039225871 2.1491108806 0.0000000000
3.5333589534 0.6500000000 3.6346596383 0.8040086899 2.1491553857 0.0000000000
3.5441860287 0.6500000000 3.6346624017 0.8040995492 2.1492027832 0.0000000000
3.5550130968 0.6500000000 3.6346654211 0.8041953418 2.1492531778 0.0000000000
3.5658401571 0.6500000000 3.6346687048 0.8042962445 2.1493066738 0.0000000000
3.5766672089 0.6500000000 3.6346722614 0.8044024341 2.1493633760 0.0000000000
3.5874942515 0.6500000000 3.6346760993 0.8045140874 2.1494233887 0.0000000000
3.5983212843 0.6500000000 3.6346802269 0.8046313811 2.1494868166 0.0000000000
3.6091483068 0.6500000000 3.6346846413 0.8047544075 2.1495536850 0.0000000000
3.6199753190 0.6500000000 3.6346893010 0.8048829696 2.1496237486 0.0000000000
3.6308023211 0.6500000000 3.6346941561 0.8050168093 2.1496967047 0.0000000000
3.6416293134 0.6500000000 3.6346991566 0.8051556683 2.1497722504 0.0000000000
3.6524562960 0.6500000000 3.6347042528 0.8052992883 2.1498500831 0.0000000000
3.6632832691 0.6500000000 3.6347093947 0.8054474110 2.1499298998 0.0000000000
3.6741102330 0.6500000000 3.6347145325 0.8055997782 2.1500113979 0.0000000000
3.6849371877 0.6500000000 3.6347196163 0.8057561315 2.1500942745 0.0000000000
3.6957641336 0.6500000000 3.6347245963 0.8059162127 2.1501782267 0.0000000000
3.7065910707 0.6500000000 3.6347294225 0.8060797635 2.1502629520 0.0000000000
3.7174179996 0.6500000000 3.6347340533 0.8062464879 2.1503481649 0.0000000000
3.7282449213 0.6500000000 3.6347384942 0.8064158714 2.1504336821 0.0000000000
3.7390718376 0.6500000000 3.6347427679 0.8065873211 2.1505193568 0.0000000000
3.7498987501 0.6500000000 3.6347468970 0.8067602439 2.1506050422 0.0000000000
3.7607256604 0.6500000000 3.6347509040 0.8069340467 2.1506905915 0.0000000000
3.7715525701 0.6500000000 3.6347548117 0.8071081365 2.1507758579 0.0000000000
3.7823794808 0.6500000000 3.6347586424 0.8072819203 2.1508606945 0.0000000000
3.7932063941 0.6500000000 3.6347624190 0.8074548050 2.1509449547 0.0000000000
3.8040333117 0.6500000000 3.6347661640 0.8076261975 2.1510284916 0.0000000000
3.8148602352 0.6500000000 3.6347699000 0.8077955047 2.1511111584 0.0000000000
3.8256871662 0.6500000000 3.6347736391 0.8079620707 2.1511927412 0.0000000000
3.8365141065 0.6500000000 3.6347773480 0.8081249662 2.1512727352 0.0000000000
3.8473410577 0.6500000000 3.6347809812 0.8082831881 2.1513505566 0.0000000000
3.8581680217 0.6500000000 3.6347844930 0.8084357331 2.1514256218 0.0000000000
3.8689950001 0.6500000000 3.6347878378 0.8085815982 2.1514973471 0.0000000000
3.8798219948 0.6500000000 3.6347909700 0.8087197802 2.1515651487 0.0000000000
3.8906490074 0.6500000000 3.6347938440 0.8088492759 2.1516284432 0.0000000000
3.9014760397 0.6500000000 3.6347964143 0.8089690821 2.1516866466 0.0000000000
3.9123030935 0.6500000000 3.6347986351 0.8090781957 2.1517391755 0.0000000000
3.9231301704 0.6500000000 3.6348004610 0.8091756131 2.1517854458 0.0000000000
3.9339572702 0.6500000000 3.6348018451 0.8092602893 2.1518248528 0.0000000000
3.9447843888 0.6500000000 3.6348027390 0.8093311042 2.1518567543 0.0000000000
3.9556115219 0.6500000000 3.6348030938 0.8093869297 2.1518805037 0.0000000000
3.9664386650 0.6500000000 3.6348028608 0.8094266379 2.1518954549 0.0000000000
3.9772658137 0.6500000000 3.6348019911 0.8094491008 2.1519009613 0.0000000000
3.9880929636 0.6500000000 3.6348004360 0.8094531905 2.1518963766 0.0000000000
3.9989201104 0.6500000000 3.6347981466 0.8094377788 2.1518810546 0.0000000000
4.0097472495 0.6500000000 3.6347950742 0.8094017378 2.1518543487 0.0000000000
4.0205743767 0.6500000000 3.6347911701 0.8093439395 2.1518156127 0.0000000000
4.0314014870 0.6500000000 3.6347863898 0.8092633118 2.1517642406 0.0000000000
4.0422285715 0.6500000000 3.6347807302 0.8091592904 2.1516999937 0.0000000000
4.0530556192 0.6500000000 3.6347742099 0.8090315818 2.1516228289 0.0000000000
4.0638826190 0.6500000000 3.6347668476 0.8088798947 2.1515327051 0.0000000000
4.0747095598 0.6500000000 3.6347586623 0.8087039383 2.1514295810 0.0000000000
4.0855364306 0.6500000000 3.6347496726 0.8085034215 2.1513134157 0.0000000000
4.0963632201 0.6500000000 3.6347398975 0.8082780532 2.1511841678 0.0000000000
4.1071899174 0.6500000000 3.6347293557 0.8080275424 2.1510417962 0.0000000000
4.1180165114 0.6500000000 3.6347180660 0.8077515981 2.1508862598 0.0000000000
4.1288429909 0.6500000000 3.6347060473 0.8074499362 2.1507175205 0.0000000000
4.1396693484 0.6500000000 3.6346933234 0.8071227272 2.1505357410 0.0000000000
4.1504955815 0.6500000000 3.6346799253 0.8067708674 2.1503414048 0.0000000000
4.1613216882 0.6500000000 3.6346658850 0.8063953179 2.1501350238 0.0000000000
4.1721476668 0.6500000000 3.6346512344 0.8059970397 2.1499171102 0.0000000000
4.1829735153 0.6500000000 3.6346360054 0.8055769940 2.1496881759 0.0000000000
4.1937992319 0.6500000000 3.6346202299 0.8051361420 2.1494487331 0.0000000000
4.2046248147 0.6500000000 3.6346039398 0.8046754446 2.1491992938 0.0000000000
4.2154502618 0.6500000000 3.6345871670 0.8041958632 2.1489403700 0.0000000000
4.2262755714 0.6500000000 3.6345699434 0.8036983586 2.1486724739 0.0000000000
4.2371007448 0.6500000000 3.6345523072 0.8031840861 2.1483962200 0.0000000000
4.2479257965 0.6500000000 3.6345343213 0.8026549685 2.1481126292 0.0000000000
4.2587507442 0.6500000000 3.6345160547 0.8021131190 2.1478228229 0.0000000000
4.2695756055 0.6500000000 3.6344975765 0.8015606507 2.1475279228 0.0000000000
4.2804003981 0.6500000000 3.6344789557 0.8009996768 2.1472290501 0.0000000000
4.2912251396 0.6500000000 3.6344602614 0.8004323103 2.1469273265 0.0000000000
4.3020498478 0.6500000000 3.6344415627 0.7998606645 2.1466238733 0.0000000000
4.3128745402 0.6500000000 3.6344229286 0.7992868525 2.1463198120 0.0000000000
