mass,logg,Lbol,age,teff,radius
0.12,4.9914499,-2.57953734,140.0,3057.3389557337346,0.1831453683244846
0.13,4.98994579,-2.52228338,140.0,3094.679442675309,0.19093396000630267
0.14,4.98786614,-2.46933524,140.0,3127.972671093653,0.19863771466520927
0.15,4.98533323,-2.42028971,140.0,3157.6535604618716,0.20624260713152012
0.16,4.98243792,-2.3747543,140.0,3184.1363010686723,0.2137411934513004
0.17,4.97926316,-2.33233922,140.0,3207.8490224134584,0.2211302872134646
0.18,4.97589195,-2.29265465,140.0,3229.24332096141,0.22841016103976142
0.19,4.97240724,-2.25531079,140.0,3248.7901518892045,0.23558456337496136
0.2,4.96889203,-2.21991784,140.0,3266.9767969755785,0.24266071895965144
0.21,4.96540093,-2.1861315,140.0,3284.2094015968755,0.24964982732311272
0.22,4.96187523,-2.1537895,140.0,3300.5226692637902,0.25656865647086147
0.23,4.95827138,-2.12279568,140.0,3315.896527980484,0.2634274452165497
0.24,4.95471983,-2.09313627,140.0,3330.470490798209,0.2701949887551673
0.25,4.95134302,-2.06478157,140.0,3344.3995782989487,0.27684138927685037
0.26,4.94805734,-2.03755584,140.0,3357.72983803371,0.2833944429741996
0.27,4.94476423,-2.01127485,140.0,3370.504877901454,0.28988910938828794
0.28,4.94151152,-1.98586647,140.0,3382.8677516374682,0.2963153979073923
0.29,4.93832642,-1.96122338,140.0,3394.9995417784885,0.30266934018570163
0.3,4.93500736,-1.93698537,140.0,3407.129650796669,0.30902336691308674
0.31,4.93134197,-1.91280086,140.0,3419.45867858232,0.3154595794428124
0.32,4.92730359,-1.88860549,140.0,3432.0139939104,0.322000050642928
0.33,4.92291508,-1.86440091,140.0,3444.793634783219,0.3286493441933915
0.34,4.91821194,-1.84016556,140.0,3457.8518324977113,0.33540321406549184
0.35,4.91322082,-1.81586182,140.0,3471.25908981241,0.34225986128655395
0.36,4.90792031,-1.79141109,140.0,3485.0913808242217,0.3492383518500994
0.37,4.90228304,-1.76673019,140.0,3499.4326539620533,0.35636128804857814
0.38,4.89630586,-1.74175867,140.0,3514.389801754601,0.36363929741813694
0.39,4.88998579,-1.71644204,140.0,3530.0552278917,0.37108291543562283
0.4,4.88329623,-1.69072687,140.0,3546.4360257012954,0.37871445338770227
0.41,4.87621512,-1.66456679,140.0,3563.5346827200883,0.3865560724162941
0.42,4.86876198,-1.63794259,140.0,3581.422683863105,0.39461279246401343
0.43,4.86096488,-1.6108405,140.0,3600.188331605698,0.40288502016004096
0.44,4.85284437,-1.5832415,140.0,3619.9137256282866,0.4113729489744777
0.45,4.84442752,-1.55513421,140.0,3640.674483939896,0.4200729532276804
0.46,4.83577496,-1.52654314,140.0,3662.5238377303617,0.42896629512276324
0.47,4.82696945,-1.49752278,140.0,3685.506063075228,0.43802162295720176
0.48,4.81814874,-1.46821176,140.0,3709.6518236306392,0.4471759517534382
0.49,4.80946877,-1.43879881,140.0,3734.920224508986,0.45635019453584724
0.5,4.80110323,-1.40958904,140.0,3760.994427951652,0.4654450114712548
0.51,4.79322339,-1.3809257,140.0,3787.459346995008,0.47435607839677046
0.52,4.78597302,-1.35318816,140.0,3813.8070743603707,0.48299609553840256
0.53,4.77943502,-1.32668628,140.0,3839.5446291570966,0.49130672636582035
0.54,4.77347633,-1.30141583,140.0,3864.36393223626,0.49933963560346667
0.55,4.76789458,-1.277219,140.0,3888.1319053721354,0.5071912703857403
0.56,4.76242607,-1.25363784,140.0,3911.244811166368,0.5150104839925914
0.57,4.7568096,-1.23010142,140.0,3934.3690047131226,0.5229559998468515
0.58,4.75085547,-1.2058869,140.0,3958.6940650904085,0.5311498461274806
0.59,4.74444195,-1.1803267,140.0,3985.4774847220833,0.5396785413126163
0.6,4.73764803,-1.15312613,140.0,4015.650248562316,0.54850653979964
0.61,4.73062098,-1.12424116,140.0,4049.747444179167,0.5575515917277297
0.62,4.72358084,-1.09425763,140.0,4086.9638847403426,0.5666780359330467
