# mass             age              teff              Lbol            radius           logg             MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2         
  0.00050000       1.00000000E-03   598.31821926     -5.44534603      0.17655689       2.64361673       16.90796421      16.02619944      16.66370851      16.96912603      13.46583038      15.48705727      14.95297214      13.80460869      10.85745822      10.29214813      14.23099295      13.94829592     
  0.00050000       1.26638017E-03   573.58170683     -5.54359364      0.17156841       2.66850978       17.21909501      16.33123751      17.03649663      17.37868765      13.77682747      15.80453738      15.31771252      13.99080984      11.00634814      10.40485563      14.59467827      14.15350855     
  0.00050000       1.60371874E-03   548.47255472     -5.64556990      0.16685346       2.69271568       17.55559342      16.66179358      17.43863279      17.81930731      14.10322452      16.12035292      15.70538623      14.18351570      11.16087299      10.51871164      14.97925285      14.36463734     
  0.00050000       2.03091762E-03   523.77650221     -5.74912343      0.16239988       2.71621520       17.93506821      17.03247056      17.84832741      18.27711894      14.42501911      16.44999309      16.08969259      14.39392039      11.31965015      10.63552618      15.35881479      14.58910507     
  0.00050000       2.57191381E-03   498.83091454     -5.85651383      0.15822252       2.73884800       18.35163391      17.44099442      18.28436837      18.75481711      14.78661041      16.77243162      16.52356514      14.60646781      11.48348111      10.75365802      15.79231756      14.82120472     
  0.00050000       3.25702066E-03   476.09368684     -5.95951318      0.15426862       2.76082974       18.78744545      17.85975427      18.70599962      19.25159707      15.11665683      17.10276976      16.92951785      14.81847125      11.65038281      10.87438771      16.18947164      15.04828697     
  0.00050000       4.12462638E-03   453.07421029     -6.06683651      0.15054880       2.78203075       19.28373923      18.32779844      19.15441844      19.82729849      15.43969634      17.47354486      17.34288894      15.04791404      11.83456903      11.00642529      16.58109588      15.28998089     
  0.00050000       5.22334507E-03   432.43059893     -6.16847779      0.14701360       2.80266924       19.83397538      18.84850860      19.65439279      20.43783938      15.78078585      17.81971897      17.78900051      15.26816520      12.02210886      11.14019309      17.00407126      15.51261770     
  0.00050000       6.61474064E-03   411.66116789     -6.27405270      0.14365686       2.82273277       20.38396522      19.37807767      20.15647350      21.07553477      16.12997307      18.13469355      18.24926029      15.50778534      12.22348827      11.27833583      17.43411374      15.76231335     
  0.00050000       8.37677640E-03   393.77499372     -6.37078787      0.14045523       2.84230856       20.94364648      19.92218901      20.67807531      21.70804934      16.48565136      18.44135632      18.72599063      15.72173814      12.41867947      11.41063075      17.88827463      15.97910222     
  0.00050000       1.06081836E-02   379.31246760     -6.45568163      0.13727613       2.86219518       21.40772480      20.37208674      21.11410745      22.23689370      16.77533896      18.65003538      19.12366695      15.89603048      12.59000681      11.52857689      18.26172561      16.15163868     
  0.00050000       1.34339933E-02   364.18249809     -6.54637816      0.13415288       2.88218484       21.97897892      20.94477585      21.65495596      22.91880197      17.11685854      18.84943296      19.61376085      16.10668138      12.79453247      11.66604519      18.71208878      16.35692643     
  0.00050000       1.70125428E-02   349.05002838     -6.63993273      0.13112490       2.90201453       22.66570255      21.60426000      22.28304170      23.68979983      17.52638742      18.94364674      20.15982690      16.34618117      13.02836652      11.81551021      19.20686118      16.59976521     
  0.00050000       2.15443469E-02   337.66345967     -6.71743585      0.12815521       2.92191271       22.97174075      21.93578532      22.59290931      24.09066455      17.69728872      18.99829078      20.44425517      16.43959361      13.16859281      11.91362600      19.46502483      16.67225823     
  0.00050000       2.72833338E-02   325.27227241     -6.80267550      0.12519530       2.94220902       23.53503308      22.48452015      23.10844529      24.76779864      18.02206296      19.09733889      20.88924032      16.63071919      13.37328080      12.04680320      19.86274017      16.85402899     
  0.00050000       3.45510729E-02   311.77256552     -6.89666051      0.12229826       2.96254454       24.26016139      23.20432393      23.76187742      25.66743057      18.39962087      19.13192915      21.45452842      16.82551690      13.62806197      12.20308362      20.35752126      17.02541016     
  0.00050000       4.37547938E-02   297.91305700     -6.99554565      0.11952786       2.98244622       24.98682889      23.91598833      24.39598799      26.55592572      18.75448000      19.16199924      21.99496642      17.00405145      13.87864790      12.35579197      20.82711538      17.18542046     
  0.00050000       5.54102033E-02   286.11222746     -7.08493534      0.11691885       3.00161579       25.70359469      24.60112352      25.00672216      27.40831650      19.09289477      19.11213213      22.51283781      17.15803859      14.11803639      12.49961632      21.27076073      17.31491182     
  0.00050000       7.01703829E-02   273.68833236     -7.18112303      0.11438277       3.02066353       26.58548668      25.43631039      25.74581875      28.44527298      19.48405672      18.99424597      23.11560856      17.31630806      14.39559124      12.65836879      21.78219287      17.44049559     
  0.00050000       8.88623816E-02   260.46958995     -7.28572100      0.11195755       3.03927774       27.67830997      26.46688221      26.64703440      29.70208833      19.95011478      18.86077850      23.82470742      17.50283654      14.70830772      12.83237216      22.38778660      17.59085561     
  0.00050000       1.12533558E-01   247.94277158     -7.38918389      0.10967923       3.05713631       28.88627385      27.60613544      27.62567204      31.04774962      20.45859914      18.81663635      24.57068021      17.72999602      15.01559707      13.00464582      23.04030449      17.79051863     
  0.00050000       1.42510267E-01   238.74862318     -7.47266532      0.10745056       3.07496689       29.87454171      28.54173553      28.41721443      32.13354232      20.87860606      18.83791714      25.17070956      17.93391443      15.25548836      13.14588486      23.57596308      17.97761736     
  0.00050000       1.80472177E-01   228.62484376     -7.56590485      0.10525295       3.09291639       31.01591214      29.62626363      29.32917906      33.37685600      21.35958420      18.90612581      25.85090285      18.17705417      15.51390998      13.29716384      24.18894203      18.20585415     
  0.00050000       2.28546386E-01   217.41007511     -7.67093518      0.10313445       3.11057735       32.33039652      30.87790494      30.37619661      34.79874969      21.90876352      19.02394838      26.62203100      18.46285937      15.79327907      13.45940838      24.88931262      18.47851041     
  0.00050000       2.89426612E-01   205.44788419     -7.78610106      0.10115094       3.12744459       33.76638786      32.24681779      31.51743917      36.34516311      22.50509791      19.17991280      27.45579914      18.77870069      16.08510567      13.62763763      25.65044595      18.78273173     
  0.00100000       1.00000000E-03   865.42799351     -4.81854079      0.17365881       2.95902313       15.16606592      14.23048499      14.25196405      14.38805379      11.81330952      13.38890820      13.01980293      12.60166360      10.21438565      9.89678281       12.35802669      12.61194579     
  0.00100000       1.26638017E-03   829.69605935     -4.91881960      0.16833265       2.98607805       15.37340503      14.44528918      14.59335441      14.77730306      12.09552155      13.68759895      13.35937017      12.80992203      10.36290753      10.01580213      12.68143558      12.82901975     
  0.00100000       1.60371874E-03   791.89359273     -5.02588386      0.16336695       3.01208774       15.61198792      14.68892057      14.97191977      15.18503406      12.40586972      13.99961379      13.72812573      13.02012516      10.51441455      10.13422419      13.04126237      13.05252078     
  0.00100000       2.03091762E-03   749.86563713     -5.14501282      0.15884219       3.03648459       15.90477602      14.98561289      15.40384535      15.62520311      12.76155128      14.33623256      14.14608244      13.23858707      10.67306156      10.25420491      13.45945438      13.29157596     
  0.00100000       2.57191381E-03   708.16856041     -5.26703327      0.15475566       3.05912220       16.22957549      15.31148719      15.84559352      16.07191503      13.11850796      14.68692841      14.56377380      13.45861623      10.83271738      10.37388441      13.87996096      13.53376441     
  0.00100000       3.25702066E-03   669.57290720     -5.38547139      0.15104341       3.08021235       16.56077492      15.64219921      16.27037065      16.51566854      13.45202920      15.04645439      14.95528578      13.67720509      10.99070235      10.49276345      14.27026470      13.77192992     
