#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =      3.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     3.74614299     3.48953604    -1.31747884    -0.11455149
    2.00000000     0.13000000     3.75817014     3.49281894    -1.28169391    -0.10323190
    3.00000000     0.14000000     3.76665784     3.49584614    -1.24579001    -0.09133728
    4.00000000     0.15000000     3.77383835     3.49865761    -1.21162286    -0.07987655
    5.00000000     0.16000000     3.78047028     3.50128340    -1.17962906    -0.06912905
    6.00000000     0.17000000     3.78694377     3.50375106    -1.14989046    -0.05919174
    7.00000000     0.18000000     3.79364900     3.50608814    -1.12248885    -0.05016159
    8.00000000     0.19000000     3.80097613     3.50832218    -1.09750608    -0.04213555
    9.00000000     0.20000000     3.80931532     3.51048075    -1.07502396    -0.03521057
   10.00000000     0.21000000     3.81803057     3.51258242    -1.05416092    -0.02898349
   11.00000000     0.22000000     3.82238117     3.51460985    -1.03018179    -0.02105059
   12.00000000     0.23000000     3.81915501     3.51655197    -0.99987453    -0.00978180
   13.00000000     0.24000000     3.81535884     3.51845855    -0.96997324     0.00135773
   14.00000000     0.25000000     3.81800693     3.52038052    -0.94721102     0.00889973
   15.00000000     0.26000000     3.82392464     3.52231253    -0.92837077     0.01445861
   16.00000000     0.27000000     3.82860290     3.52424014    -0.90894424     0.02031331
   17.00000000     0.28000000     3.83238371     3.52616869    -0.88920850     0.02631814
   18.00000000     0.29000000     3.83649772     3.52810788    -0.87031715     0.03188155
   19.00000000     0.30000000     3.84087897     3.53006486    -0.85214438     0.03705295
   20.00000000     0.31000000     3.84521933     3.53204431    -0.83433198     0.04200170
   21.00000000     0.32000000     3.84953841     3.53404341    -0.81687136     0.04673580
   22.00000000     0.33000000     3.85391077     3.53605812    -0.79981698     0.05123446
   23.00000000     0.34000000     3.85830299     3.53808681    -0.78312574     0.05552311
   24.00000000     0.35000000     3.86266665     3.54012690    -0.76674488     0.05963402
   25.00000000     0.36000000     3.86700159     3.54216944    -0.75068060     0.06358083
   26.00000000     0.37000000     3.87131068     3.54420599    -0.73494085     0.06737553
   27.00000000     0.38000000     3.87556087     3.54623649    -0.71948184     0.07104239
   28.00000000     0.39000000     3.87971829     3.54826185    -0.70425779     0.07460462
   29.00000000     0.40000000     3.88378175     3.55027831    -0.68926672     0.07806912
   30.00000000     0.41000000     3.88776540     3.55228801    -0.67449590     0.08143600
   31.00000000     0.42000000     3.89171206     3.55432122    -0.65984579     0.08469432
   32.00000000     0.43000000     3.89565314     3.55640828    -0.64520937     0.08783738
   33.00000000     0.44000000     3.89954565     3.55855181    -0.63053659     0.09088626
   34.00000000     0.45000000     3.90332768     3.56074282    -0.61580321     0.09387194
   35.00000000     0.46000000     3.90693602     3.56295364    -0.60103130     0.09683707
   36.00000000     0.47000000     3.91032028     3.56514229    -0.58631368     0.09981764
