#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =     90.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.87230913     3.48873802    -2.44680747    -0.67763457
    2.00000000     0.13000000     4.87149293     3.49331076    -2.39303766    -0.65989001
    3.00000000     0.14000000     4.87035298     3.49739116    -2.34329927    -0.64318149
    4.00000000     0.15000000     4.86898653     3.50103914    -2.29723772    -0.62744878
    5.00000000     0.16000000     4.86745114     3.50430911    -2.25449427    -0.61261981
    6.00000000     0.17000000     4.86579442     3.50725408    -2.21470914    -0.59861958
    7.00000000     0.18000000     4.86406401     3.50992709    -2.17752256    -0.58537307
    8.00000000     0.19000000     4.86230755     3.51238117    -2.14257477    -0.57280527
    9.00000000     0.20000000     4.86057266     3.51466933    -2.10950599    -0.56084116
   10.00000000     0.21000000     4.85887503     3.51683537    -2.07798620    -0.54940352
   11.00000000     0.22000000     4.85710251     3.51888606    -2.04780433    -0.53840626
   12.00000000     0.23000000     4.85517560     3.52082250    -2.01882378    -0.52778855
   13.00000000     0.24000000     4.85327296     3.52266000    -1.99108685    -0.51759953
   14.00000000     0.25000000     4.85157254     3.52441574    -1.96462796    -0.50788639
   15.00000000     0.26000000     4.84999109     3.52610000    -1.93927109    -0.49857862
   16.00000000     0.27000000     4.84839704     3.52772282    -1.91479807    -0.48958553
   17.00000000     0.28000000     4.84672664     3.52930000    -1.89103258    -0.48085332
   18.00000000     0.29000000     4.84494074     3.53084689    -1.86782542    -0.47234144
   19.00000000     0.30000000     4.84303079     3.53237113    -1.84509402    -0.46402540
   20.00000000     0.31000000     4.84099344     3.53387922    -1.82277215    -0.45588486
   21.00000000     0.32000000     4.83881570     3.53538069    -1.80079227    -0.44790018
   22.00000000     0.33000000     4.83648115     3.53688448    -1.77908553    -0.44005117
   23.00000000     0.34000000     4.83396945     3.53839418    -1.75757919    -0.43231473
   24.00000000     0.35000000     4.83126158     3.53991315    -1.73620288    -0.42466824
   25.00000000     0.36000000     4.82834780     3.54144912    -1.71489962    -0.41709390
   26.00000000     0.37000000     4.82522149     3.54301189    -1.69361244    -0.40957719
   27.00000000     0.38000000     4.82187917     3.54461515    -1.67227106    -0.40211207
   28.00000000     0.39000000     4.81831173     3.54627045    -1.65080630    -0.39468973
   29.00000000     0.40000000     4.81448436     3.54797695    -1.62916657    -0.38728193
   30.00000000     0.41000000     4.81036456     3.54973350    -1.60730328    -0.37986117
   31.00000000     0.42000000     4.80595488     3.55155024    -1.58516229    -0.37242244
   32.00000000     0.43000000     4.80126082     3.55343870    -1.56268989    -0.36496372
   33.00000000     0.44000000     4.79626489     3.55540479    -1.53983976    -0.35747245
   34.00000000     0.45000000     4.79094260     3.55745595    -1.51655312    -0.34993228
   35.00000000     0.46000000     4.78526458     3.55961127    -1.49271388    -0.34232229
   36.00000000     0.47000000     4.77921015     3.56189315    -1.46819934    -0.33462598
   37.00000000     0.48000000     4.77279833     3.56432539    -1.44291763    -0.32684916
   38.00000000     0.49000000     4.76605675     3.56693402    -1.41677960    -0.31900231
   39.00000000     0.50000000     4.75900803     3.56975245    -1.38967631    -0.31109211
   40.00000000     0.51000000     4.75168282     3.57281602    -1.36149887    -0.30312930
   41.00000000     0.52000000     4.74414918     3.57616022    -1.33215830    -0.29514459
   42.00000000     0.53000000     4.73649911     3.57981891    -1.30159675    -0.28718139
   43.00000000     0.54000000     4.72888315     3.58381936    -1.26986072    -0.27931407
   44.00000000     0.55000000     4.72143871     3.58816393    -1.23708137    -0.27160980
   45.00000000     0.56000000     4.71419223     3.59276197    -1.20362411    -0.26407612
   46.00000000     0.57000000     4.70720657     3.59754361    -1.16981071    -0.25673880
   47.00000000     0.58000000     4.70080115     3.60261503    -1.13555404    -0.24975632
   48.00000000     0.59000000     4.69530425     3.60804467    -1.10092591    -0.24329268
   49.00000000     0.60000000     4.69082277     3.61357409    -1.06704257    -0.23740138
   50.00000000     0.61000000     4.68740795     3.61889048    -1.03517985    -0.23210714
   51.00000000     0.62000000     4.68510976     3.62379058    -1.00620744    -0.22742988
   52.00000000     0.63000000     4.68396816     3.62811577    -0.98081118    -0.22338472
   53.00000000     0.64000000     4.68398439     3.63177635    -0.95934785    -0.21997220
   54.00000000     0.65000000     4.68502901     3.63474608    -0.94178604    -0.21712815
   55.00000000     0.66000000     4.68648849     3.63718358    -0.92687065    -0.21454424
   56.00000000     0.67000000     4.68765643     3.63932459    -0.91294566    -0.21186486
   57.00000000     0.68000000     4.68793893     3.64152848    -0.89797500    -0.20878931
   58.00000000     0.69000000     4.68689069     3.64413569    -0.88014955    -0.20509209
   59.00000000     0.70000000     4.68454825     3.64728720    -0.85894795    -0.20079337
   60.00000000     0.71000000     4.68111649     3.65102434    -0.83441425    -0.19599746
   61.00000000     0.72000000     4.67699159     3.65518945    -0.80756645    -0.19089945
   62.00000000     0.73000000     4.67257991     3.65958740    -0.77957977    -0.18569851
   63.00000000     0.74000000     4.66813722     3.66407231    -0.75128450    -0.18051919
   64.00000000     0.75000000     4.66384027     3.66853153    -0.72330140    -0.17544730
   65.00000000     0.76000000     4.65970040     3.67293600    -0.69575808    -0.17048824
   66.00000000     0.77000000     4.65568757     3.67727753    -0.66865885    -0.16562726
   67.00000000     0.78000000     4.65177174     3.68154795    -0.64200803    -0.16084964
   68.00000000     0.79000000     4.64792288     3.68573910    -0.61580995    -0.15614064
   69.00000000     0.80000000     4.64411095     3.68984280    -0.59006891    -0.15148553
   70.00000000     0.81000000     4.64030592     3.69385089    -0.56478923    -0.14686958
   71.00000000     0.82000000     4.63647776     3.69775518    -0.53997524    -0.14227807
   72.00000000     0.83000000     4.63259642     3.70154750    -0.51563125    -0.13769625
   73.00000000     0.84000000     4.62863188     3.70521969    -0.49176157    -0.13310940
   74.00000000     0.85000000     4.62455410     3.70876358    -0.46837053    -0.12850279
   75.00000000     0.86000000     4.62033305     3.71217098    -0.44546244    -0.12386168
   76.00000000     0.87000000     4.61593868     3.71543373    -0.42304162    -0.11917135
   77.00000000     0.88000000     4.61134097     3.71854366    -0.40111238    -0.11441706
   78.00000000     0.89000000     4.60650988     3.72149259    -0.37967905    -0.10958409
