#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =    100.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.90159468     3.48803311    -2.47892859    -0.69227417
    2.00000000     0.13000000     4.90073629     3.49275063    -2.42451820    -0.67451242
    3.00000000     0.14000000     4.89951633     3.49695214    -2.37421254    -0.65776317
    4.00000000     0.15000000     4.89802978     3.50069857    -2.32764209    -0.64196791
    5.00000000     0.16000000     4.89633784     3.50404670    -2.28443786    -0.62705769
    6.00000000     0.17000000     4.89449325     3.50705228    -2.24423102    -0.61296093
    7.00000000     0.18000000     4.89254876     3.50977105    -2.20665273    -0.59960604
    8.00000000     0.19000000     4.89055712     3.51225876    -2.17133415    -0.58692143
    9.00000000     0.20000000     4.88857108     3.51457116    -2.13790645    -0.57483554
   10.00000000     0.21000000     4.88661412     3.51675539    -2.10603448    -0.56327462
   11.00000000     0.22000000     4.88459269     3.51882422    -2.07551791    -0.55215634
   12.00000000     0.23000000     4.88243779     3.52078278    -2.04622771    -0.54142099
   13.00000000     0.24000000     4.88029572     3.52264014    -2.01818530    -0.53110786
   14.00000000     0.25000000     4.87831496     3.52440742    -1.99140435    -0.52125590
   15.00000000     0.26000000     4.87643746     3.52610000    -1.96571725    -0.51180362
   16.00000000     0.27000000     4.87455778     3.52773346    -1.94091544    -0.50266848
   17.00000000     0.28000000     4.87258754     3.52932000    -1.91680813    -0.49378406
   18.00000000     0.29000000     4.87046011     3.53087212    -1.89322760    -0.48509758
   19.00000000     0.30000000     4.86817872     3.53240696    -1.87008087    -0.47659436
   20.00000000     0.31000000     4.86575513     3.53393964    -1.84729415    -0.46826436
   21.00000000     0.32000000     4.86316538     3.53547239    -1.82479583    -0.46007769
   22.00000000     0.33000000     4.86038051     3.53700581    -1.80251580    -0.45200307
   23.00000000     0.34000000     4.85738725     3.53854691    -1.78038776    -0.44402331
   24.00000000     0.35000000     4.85417333     3.54010471    -1.75834372    -0.43612273
   25.00000000     0.36000000     4.85071480     3.54168994    -1.73630504    -0.42827740
   26.00000000     0.37000000     4.84699148     3.54331321    -1.71419537    -0.42046548
   27.00000000     0.38000000     4.84300987     3.54498292    -1.69195821    -0.41268164
   28.00000000     0.39000000     4.83877567     3.54670621    -1.66954247    -0.40492143
   29.00000000     0.40000000     4.83426466     3.54848736    -1.64689899    -0.39716733
   30.00000000     0.41000000     4.82944782     3.55033168    -1.62397381    -0.38939900
   31.00000000     0.42000000     4.82430693     3.55225160    -1.60069209    -0.38159768
   32.00000000     0.43000000     4.81882584     3.55425881    -1.57697954    -0.37374640
   33.00000000     0.44000000     4.81298573     3.55635478    -1.55278490    -0.36583373
   34.00000000     0.45000000     4.80677204     3.55854387    -1.52805162    -0.35785017
   35.00000000     0.46000000     4.80018973     3.56085201    -1.50267889    -0.34978847
   36.00000000     0.47000000     4.79324923     3.56330985    -1.47655672    -0.34164477
   37.00000000     0.48000000     4.78596304     3.56594514    -1.44958282    -0.33342652
   38.00000000     0.49000000     4.77835496     3.56878482    -1.42166640    -0.32514691
   39.00000000     0.50000000     4.77049170     3.57185532    -1.39275515    -0.31683085
   40.00000000     0.51000000     4.76246179     3.57518643    -1.36280532    -0.30851408
   41.00000000     0.52000000     4.75439787     3.57882197    -1.33176904    -0.30026394
   42.00000000     0.53000000     4.74644314     3.58278668    -1.29968564    -0.29215313
   43.00000000     0.54000000     4.73873871     3.58701516    -1.26694733    -0.28424435
   44.00000000     0.55000000     4.73141691     3.59143408    -1.23397096    -0.27659590
   45.00000000     0.56000000     4.72457709     3.59602872    -1.20091887    -0.26925855
   46.00000000     0.57000000     4.71836388     3.60077554    -1.16803424    -0.26230683
   47.00000000     0.58000000     4.71313588     3.60555695    -1.13613808    -0.25591799
   48.00000000     0.59000000     4.70921301     3.61021179    -1.10618331    -0.25024839
   49.00000000     0.60000000     4.70654625     3.61449839    -1.07907268    -0.24526843
   50.00000000     0.61000000     4.70496658     3.61820608    -1.05546993    -0.24088933
   51.00000000     0.62000000     4.70419357     3.62132849    -1.03513315    -0.23697178
   52.00000000     0.63000000     4.70387590     3.62394306    -1.01741287    -0.23334090
   53.00000000     0.64000000     4.70349006     3.62625818    -1.00093509    -0.22973003
   54.00000000     0.65000000     4.70251182     3.62852402    -0.98415736    -0.22587214
   55.00000000     0.66000000     4.70058619     3.63102677    -0.96558787    -0.22159029
   56.00000000     0.67000000     4.69750657     3.63401487    -0.94403402    -0.21678240
   57.00000000     0.68000000     4.69349043     3.63754958    -0.91944951    -0.21155565
   58.00000000     0.69000000     4.68887145     3.64160958    -0.89223629    -0.20607497
   59.00000000     0.70000000     4.68402391     3.64603026    -0.86344313    -0.20052702
   60.00000000     0.71000000     4.67927754     3.65062044    -0.83418126    -0.19507598
