# logAge Mass logTe Mbol logg C/O
-0.4084510595 1.0000000000 3.6262100000 -2.0342500000 1.1671400000 0.0000000000
-0.3651387292 1.0000000000 3.6262159505 -2.0341321599 1.1672109381 0.0000000000
-0.3218264019 1.0000000000 3.6262193419 -2.0340063363 1.1672748332 0.0000000000
-0.2785140791 1.0000000000 3.6262222412 -2.0338709126 1.1673405996 0.0000000000
-0.2352017625 1.0000000000 3.6262267150 -2.0337242719 1.1674171512 0.0000000000
-0.1918894537 1.0000000000 3.6262346616 -2.0335647098 1.1675127625 0.0000000000
-0.1485771553 1.0000000000 3.6262444982 -2.0333887062 1.1676225104 0.0000000000
-0.1052648710 1.0000000000 3.6262514161 -2.0331910393 1.1677292488 0.0000000000
-0.0619526064 1.0000000000 3.6262545911 -2.0329668615 1.1678316197 0.0000000000
-0.0186403702 1.0000000000 3.6262604455 -2.0327121019 1.1679569410 0.0000000000
0.0246718319 1.0000000000 3.6262733118 -2.0324250429 1.1681232301 0.0000000000
0.0679840058 1.0000000000 3.6262877152 -2.0321118536 1.1683061195 0.0000000000
0.1112961572 1.0000000000 3.6262973641 -2.0317784628 1.1684780714 0.0000000000
0.1546082718 1.0000000000 3.6263053339 -2.0314168415 1.1686545992 0.0000000000
0.1979203264 1.0000000000 3.6263184024 -2.0310131649 1.1688683436 0.0000000000
0.2412322994 1.0000000000 3.6263369780 -2.0305584290 1.1691245403 0.0000000000
0.2845441705 1.0000000000 3.6263562254 -2.0300477156 1.1694058153 0.0000000000
0.3278559296 1.0000000000 3.6263738650 -2.0294805714 1.1697032316 0.0000000000
0.3711675826 1.0000000000 3.6263918134 -2.0288632518 1.1700219530 0.0000000000
0.4144791180 1.0000000000 3.6264121305 -2.0281961638 1.1703700563 0.0000000000
0.4577904686 1.0000000000 3.6264362275 -2.0274604475 1.1707607311 0.0000000000
0.5011015624 1.0000000000 3.6264650385 -2.0266363012 1.1712056337 0.0000000000
0.5444123634 1.0000000000 3.6264973110 -2.0257202120 1.1717011592 0.0000000000
0.5877228461 1.0000000000 3.6265311146 -2.0247141322 1.1722388055 0.0000000000
0.6310329435 1.0000000000 3.6265665914 -2.0236102975 1.1728222465 0.0000000000
0.6743425575 1.0000000000 3.6266053826 -2.0223939177 1.1734639633 0.0000000000
0.7176515800 1.0000000000 3.6266487645 -2.0210522525 1.1741741570 0.0000000000
0.7609598899 1.0000000000 3.6266974723 -2.0195755544 1.1749596674 0.0000000000
0.8042673571 1.0000000000 3.6267522489 -2.0179532335 1.1758277021 0.0000000000
0.8475738317 1.0000000000 3.6268139574 -2.0161719549 1.1767870477 0.0000000000
0.8908790975 1.0000000000 3.6268828423 -2.0142127000 1.1778462891 0.0000000000
0.9341826074 1.0000000000 3.6269557820 -2.0120287895 1.1790116122 0.0000000000
0.9774837272 1.0000000000 3.6270290280 -2.0095677486 1.1802890126 0.0000000000
1.0207820727 1.0000000000 3.6271043242 -2.0068148700 1.1816913487 0.0000000000
1.0640774115 1.0000000000 3.6271868395 -2.0037789555 1.1832357759 0.0000000000
1.1073692519 1.0000000000 3.6272790649 -2.0004489334 1.1849366864 0.0000000000
1.1506567902 1.0000000000 3.6273802306 -1.9967895479 1.1868051031 0.0000000000
1.1939391934 1.0000000000 3.6274907239 -1.9927681089 1.1888556521 0.0000000000
1.2372156048 1.0000000000 3.6276139979 -1.9883609841 1.1911115979 0.0000000000
1.2804850309 1.0000000000 3.6277528035 -1.9835423757 1.1935942638 0.0000000000
1.3237458669 1.0000000000 3.6279047278 -1.9782708087 1.1963105878 0.0000000000
1.3669964337 1.0000000000 3.6280668194 -1.9725044418 1.1992655011 0.0000000000
1.4102360471 1.0000000000 3.6282453794 -1.9662419803 1.2024847256 0.0000000000
1.4534644581 1.0000000000 3.6284514726 -1.9595012669 1.2060053836 0.0000000000
1.4966780309 1.0000000000 3.6286834463 -1.9521988707 1.2098542368 0.0000000000
1.5398695103 1.0000000000 3.6289260145 -1.9441431258 1.2140468077 0.0000000000
1.5830345177 1.0000000000 3.6291742031 -1.9352392859 1.2186010978 0.0000000000
1.6261749412 1.0000000000 3.6294455645 -1.9256023276 1.2235413268 0.0000000000
1.6692912315 1.0000000000 3.6297553899 -1.9153163304 1.2288950273 0.0000000000
1.7123746032 1.0000000000 3.6300979308 -1.9042282776 1.2347004124 0.0000000000
1.7554151507 1.0000000000 3.6304646304 -1.8921547046 1.2409966397 0.0000000000
1.7984126116 1.0000000000 3.6308669833 -1.8791470576 1.2478091102 0.0000000000
1.8413670512 1.0000000000 3.6313186516 -1.8652867418 1.2551599098 0.0000000000
1.8842568761 1.0000000000 3.6317963043 -1.8502464612 1.2630866327 0.0000000000
1.9270587031 1.0000000000 3.6322770000 -1.8337046649 1.2716261341 0.0000000000
