# logAge Mass logTe Mbol logg C/O
4.1860800861 1.4000000000 3.6852900000 0.3541500000 2.5049480357 0.0000000000
4.1942378463 1.4000000000 3.6852888130 0.3541146362 2.5049291420 0.0000000000
4.2023956054 1.4000000000 3.6852875842 0.3540768368 2.5049091070 0.0000000000
4.2105533634 1.4000000000 3.6852863151 0.3540366772 2.5048879671 0.0000000000
4.2187111204 1.4000000000 3.6852850074 0.3539942331 2.5048657586 0.0000000000
4.2268688764 1.4000000000 3.6852836626 0.3539495799 2.5048425179 0.0000000000
4.2350266315 1.4000000000 3.6852822821 0.3539027933 2.5048182815 0.0000000000
4.2431843857 1.4000000000 3.6852808676 0.3538539489 2.5047930857 0.0000000000
4.2513421390 1.4000000000 3.6852794206 0.3538031222 2.5047669670 0.0000000000
4.2594998915 1.4000000000 3.6852779426 0.3537503887 2.5047399616 0.0000000000
4.2676576432 1.4000000000 3.6852764352 0.3536958240 2.5047121061 0.0000000000
4.2758153941 1.4000000000 3.6852748999 0.3536395037 2.5046834367 0.0000000000
4.2839731444 1.4000000000 3.6852733382 0.3535815034 2.5046539900 0.0000000000
4.2921308940 1.4000000000 3.6852717518 0.3535218986 2.5046238023 0.0000000000
4.3002886431 1.4000000000 3.6852701421 0.3534607648 2.5045929100 0.0000000000
4.3084463915 1.4000000000 3.6852685107 0.3533981777 2.5045613494 0.0000000000
4.3166041394 1.4000000000 3.6852668591 0.3533342128 2.5045291571 0.0000000000
4.3247618868 1.4000000000 3.6852651888 0.3532689457 2.5044963693 0.0000000000
4.3329196338 1.4000000000 3.6852635015 0.3532024519 2.5044630225 0.0000000000
4.3410773804 1.4000000000 3.6852617987 0.3531348070 2.5044291531 0.0000000000
4.3492351266 1.4000000000 3.6852600818 0.3530660866 2.5043947975 0.0000000000
4.3573928724 1.4000000000 3.6852583525 0.3529963662 2.5043599920 0.0000000000
4.3655506180 1.4000000000 3.6852566122 0.3529257214 2.5043247731 0.0000000000
4.3737083634 1.4000000000 3.6852548626 0.3528542277 2.5042891771 0.0000000000
4.3818661085 1.4000000000 3.6852531051 0.3527819608 2.5042532405 0.0000000000
4.3900238535 1.4000000000 3.6852513414 0.3527089961 2.5042169996 0.0000000000
4.3981815984 1.4000000000 3.6852495729 0.3526354093 2.5041804909 0.0000000000
4.4063393432 1.4000000000 3.6852478012 0.3525612759 2.5041437507 0.0000000000
4.4144970880 1.4000000000 3.6852460278 0.3524866714 2.5041068154 0.0000000000
4.4226548328 1.4000000000 3.6852442543 0.3524116715 2.5040697215 0.0000000000
4.4308125776 1.4000000000 3.6852424822 0.3523363517 2.5040325053 0.0000000000
4.4389703225 1.4000000000 3.6852407131 0.3522607876 2.5039952031 0.0000000000
4.4471280675 1.4000000000 3.6852389485 0.3521850547 2.5039578516 0.0000000000
4.4552858127 1.4000000000 3.6852371899 0.3521092285 2.5039204869 0.0000000000
4.4634435582 1.4000000000 3.6852354390 0.3520333848 2.5038831455 0.0000000000
4.4716013039 1.4000000000 3.6852336971 0.3519575989 2.5038458638 0.0000000000
4.4797590498 1.4000000000 3.6852319660 0.3518819466 2.5038086782 0.0000000000
4.4879167962 1.4000000000 3.6852302470 0.3518065033 2.5037716251 0.0000000000
4.4960745429 1.4000000000 3.6852285418 0.3517313446 2.5037347409 0.0000000000
4.5042322900 1.4000000000 3.6852268520 0.3516565460 2.5036980619 0.0000000000
4.5123900376 1.4000000000 3.6852251789 0.3515821833 2.5036616247 0.0000000000
4.5205477856 1.4000000000 3.6852235243 0.3515083318 2.5036254655 0.0000000000
4.5287055343 1.4000000000 3.6852218896 0.3514350672 2.5035896207 0.0000000000
4.5368632835 1.4000000000 3.6852202763 0.3513624650 2.5035541269 0.0000000000
4.5450210333 1.4000000000 3.6852186861 0.3512906008 2.5035190203 0.0000000000
4.5531787838 1.4000000000 3.6852171204 0.3512195502 2.5034843373 0.0000000000
4.5613365350 1.4000000000 3.6852155808 0.3511493886 2.5034501144 0.0000000000
4.5694942870 1.4000000000 3.6852140689 0.3510801918 2.5034163879 0.0000000000
4.5776520398 1.4000000000 3.6852125861 0.3510120353 2.5033831943 0.0000000000
4.5858097934 1.4000000000 3.6852111341 0.3509449945 2.5033505698 0.0000000000
4.5939675478 1.4000000000 3.6852097143 0.3508791451 2.5033185511 0.0000000000
4.6021253032 1.4000000000 3.6852083284 0.3508145627 2.5032871743 0.0000000000
4.6102830596 1.4000000000 3.6852069778 0.3507513228 2.5032564760 0.0000000000
4.6184408169 1.4000000000 3.6852056641 0.3506895009 2.5032264924 0.0000000000
4.6265985753 1.4000000000 3.6852043888 0.3506291727 2.5031972601 0.0000000000
4.6347563348 1.4000000000 3.6852031536 0.3505704137 2.5031688154 0.0000000000
4.6429140954 1.4000000000 3.6852019598 0.3505132994 2.5031411947 0.0000000000
4.6510718571 1.4000000000 3.6852008091 0.3504579055 2.5031144344 0.0000000000
4.6592296201 1.4000000000 3.6851997030 0.3504043074 2.5030885708 0.0000000000
4.6673873843 1.4000000000 3.6851986431 0.3503525808 2.5030636405 0.0000000000
4.6755451498 1.4000000000 3.6851976309 0.3503028012 2.5030396797 0.0000000000
4.6837029166 1.4000000000 3.6851966679 0.3502550443 2.5030167249 0.0000000000
4.6918606848 1.4000000000 3.6851957557 0.3502093854 2.5029948125 0.0000000000
4.7000184544 1.4000000000 3.6851948958 0.3501659003 2.5029739789 0.0000000000
4.7081762255 1.4000000000 3.6851940897 0.3501246644 2.5029542604 0.0000000000
4.7163339980 1.4000000000 3.6851933391 0.3500857534 2.5029356934 0.0000000000
4.7244917721 1.4000000000 3.6851926454 0.3500492427 2.5029183145 0.0000000000
4.7326495478 1.4000000000 3.6851920102 0.3500152081 2.5029021598 0.0000000000
4.7408073251 1.4000000000 3.6851914351 0.3499837250 2.5028872659 0.0000000000
4.7489651040 1.4000000000 3.6851909215 0.3499548689 2.5028736692 0.0000000000
4.7571228847 1.4000000000 3.6851904710 0.3499287155 2.5028614060 0.0000000000
4.7652806671 1.4000000000 3.6851900852 0.3499053404 2.5028505127 0.0000000000
4.7734384512 1.4000000000 3.6851897655 0.3498848105 2.5028410221 0.0000000000
4.7815962371 1.4000000000 3.6851895130 0.3498671196 2.5028329355 0.0000000000
4.7897540244 1.4000000000 3.6851893283 0.3498522239 2.5028262384 0.0000000000
4.7979118130 1.4000000000 3.6851892121 0.3498400794 2.5028209159 0.0000000000
4.8060696028 1.4000000000 3.6851891652 0.3498306420 2.5028169533 0.0000000000
4.8142273936 1.4000000000 3.6851891883 0.3498238676 2.5028143358 0.0000000000
4.8223851852 1.4000000000 3.6851892820 0.3498197122 2.5028130486 0.0000000000
4.8305429775 1.4000000000 3.6851894472 0.3498181317 2.5028130770 0.0000000000
4.8387007702 1.4000000000 3.6851896844 0.3498190820 2.5028144061 0.0000000000
4.8468585633 1.4000000000 3.6851899945 0.3498225191 2.5028170212 0.0000000000
4.8550163564 1.4000000000 3.6851903781 0.3498283989 2.5028209076 0.0000000000
4.8631741496 1.4000000000 3.6851908359 0.3498366774 2.5028260504 0.0000000000
4.8713319425 1.4000000000 3.6851913687 0.3498473105 2.5028324348 0.0000000000
4.8794897350 1.4000000000 3.6851919772 0.3498602541 2.5028400462 0.0000000000
4.8876475270 1.4000000000 3.6851926621 0.3498754641 2.5028488696 0.0000000000
4.8958053183 1.4000000000 3.6851934240 0.3498928966 2.5028588904 0.0000000000
4.9039631087 1.4000000000 3.6851942638 0.3499125074 2.5028700938 0.0000000000
4.9121208980 1.4000000000 3.6851951821 0.3499342525 2.5028824650 0.0000000000
4.9202786862 1.4000000000 3.6851961796 0.3499580877 2.5028959891 0.0000000000
4.9284364729 1.4000000000 3.6851972571 0.3499839691 2.5029106516 0.0000000000
4.9365942580 1.4000000000 3.6851984152 0.3500118526 2.5029264375 0.0000000000
4.9447520414 1.4000000000 3.6851996547 0.3500416941 2.5029433320 0.0000000000
4.9529098229 1.4000000000 3.6852009757 0.3500734436 2.5029613158 0.0000000000
4.9610676026 1.4000000000 3.6852023729 0.3501069959 2.5029803259 0.0000000000
4.9692253806 1.4000000000 3.6852038384 0.3501422161 2.5030002757 0.0000000000
4.9773831572 1.4000000000 3.6852053638 0.3501789689 2.5030210786 0.0000000000
4.9855409323 1.4000000000 3.6852069412 0.3502171192 2.5030426480 0.0000000000
4.9936987064 1.4000000000 3.6852085622 0.3502565316 2.5030648972 0.0000000000
5.0018564794 1.4000000000 3.6852102189 0.3502970710 2.5030877396 0.0000000000
5.0100142515 1.4000000000 3.6852119029 0.3503386021 2.5031110883 0.0000000000
5.0181720230 1.4000000000 3.6852136063 0.3503809898 2.5031348568 0.0000000000
5.0263297940 1.4000000000 3.6852153208 0.3504240987 2.5031589585 0.0000000000
5.0344875647 1.4000000000 3.6852170384 0.3504677936 2.5031833065 0.0000000000
5.0426453352 1.4000000000 3.6852187507 0.3505119394 2.5032078144 0.0000000000
5.0508031057 1.4000000000 3.6852204498 0.3505564007 2.5032323953 0.0000000000
