# logAge Mass logTe Mbol logg C/O
4.1860800861 0.5900000000 3.6876600000 0.8876500000 2.3525520116 0.0000000000
4.1945193983 0.5900000000 3.6876486592 0.8873602050 2.3523907305 0.0000000000
4.2029588139 0.5900000000 3.6876376332 0.8870731052 2.3522317864 0.0000000000
4.2113983303 0.5900000000 3.6876269251 0.8867888741 2.3520752615 0.0000000000
4.2198379446 0.5900000000 3.6876165381 0.8865076852 2.3519212380 0.0000000000
4.2282776542 0.5900000000 3.6876064754 0.8862297119 2.3517697978 0.0000000000
4.2367174563 0.5900000000 3.6875967401 0.8859551277 2.3516210232 0.0000000000
4.2451573481 0.5900000000 3.6875873355 0.8856841061 2.3514749962 0.0000000000
4.2535973271 0.5900000000 3.6875782648 0.8854168207 2.3513317989 0.0000000000
4.2620373904 0.5900000000 3.6875695310 0.8851534448 2.3511915136 0.0000000000
4.2704775353 0.5900000000 3.6875611374 0.8848941521 2.3510542222 0.0000000000
4.2789177592 0.5900000000 3.6875530872 0.8846391159 2.3509200069 0.0000000000
4.2873580592 0.5900000000 3.6875453836 0.8843885098 2.3507889498 0.0000000000
4.2957984326 0.5900000000 3.6875380296 0.8841425072 2.3506611331 0.0000000000
4.3042388768 0.5900000000 3.6875310286 0.8839012817 2.3505366388 0.0000000000
4.3126793890 0.5900000000 3.6875243837 0.8836650067 2.3504155490 0.0000000000
4.3211199664 0.5900000000 3.6875180980 0.8834338557 2.3502979459 0.0000000000
4.3295606064 0.5900000000 3.6875121748 0.8832080022 2.3501839116 0.0000000000
4.3380013062 0.5900000000 3.6875066172 0.8829876197 2.3500735282 0.0000000000
4.3464420631 0.5900000000 3.6875014284 0.8827728817 2.3499668778 0.0000000000
4.3548828743 0.5900000000 3.6874966116 0.8825639616 2.3498640425 0.0000000000
4.3633237372 0.5900000000 3.6874921699 0.8823610330 2.3497651045 0.0000000000
4.3717646490 0.5900000000 3.6874881066 0.8821642693 2.3496701458 0.0000000000
4.3802056070 0.5900000000 3.6874844248 0.8819738441 2.3495792485 0.0000000000
4.3886466085 0.5900000000 3.6874811277 0.8817899308 2.3494924949 0.0000000000
4.3970876507 0.5900000000 3.6874782185 0.8816127029 2.3494099669 0.0000000000
4.4055287310 0.5900000000 3.6874757004 0.8814423338 2.3493317467 0.0000000000
4.4139698465 0.5900000000 3.6874735765 0.8812789972 2.3492579165 0.0000000000
4.4224109946 0.5900000000 3.6874718500 0.8811228664 2.3491885582 0.0000000000
4.4308521725 0.5900000000 3.6874705241 0.8809741150 2.3491237542 0.0000000000
4.4392933775 0.5900000000 3.6874696020 0.8808329164 2.3490635863 0.0000000000
4.4477346069 0.5900000000 3.6874690869 0.8806994442 2.3490081369 0.0000000000
4.4561758580 0.5900000000 3.6874689819 0.8805738717 2.3489574879 0.0000000000
4.4646171280 0.5900000000 3.6874692902 0.8804563726 2.3489117215 0.0000000000
4.4730584142 0.5900000000 3.6874700150 0.8803471203 2.3488709199 0.0000000000
4.4814997140 0.5900000000 3.6874711595 0.8802462882 2.3488351651 0.0000000000
4.4899410244 0.5900000000 3.6874727269 0.8801540500 2.3488045392 0.0000000000
4.4983823429 0.5900000000 3.6874747203 0.8800705789 2.3487791243 0.0000000000
4.5068236667 0.5900000000 3.6874771429 0.8799960487 2.3487590027 0.0000000000
4.5152649931 0.5900000000 3.6874799979 0.8799306326 2.3487442563 0.0000000000
4.5237063194 0.5900000000 3.6874832885 0.8798745043 2.3487349673 0.0000000000
4.5321476428 0.5900000000 3.6874870178 0.8798278372 2.3487312178 0.0000000000
4.5405889606 0.5900000000 3.6874911891 0.8797908048 2.3487330899 0.0000000000
4.5490302700 0.5900000000 3.6874958055 0.8797635806 2.3487406658 0.0000000000
4.5574715685 0.5900000000 3.6875008702 0.8797463380 2.3487540275 0.0000000000
4.5659128531 0.5900000000 3.6875063863 0.8797392506 2.3487732572 0.0000000000
4.5743541213 0.5900000000 3.6875123571 0.8797424919 2.3487984370 0.0000000000
4.5827953702 0.5900000000 3.6875187858 0.8797562353 2.3488296489 0.0000000000
4.5912365972 0.5900000000 3.6875256755 0.8797806543 2.3488669752 0.0000000000
4.5996777995 0.5900000000 3.6875330293 0.8798159225 2.3489104978 0.0000000000
4.6081189745 0.5900000000 3.6875408505 0.8798622132 2.3489602991 0.0000000000
4.6165601193 0.5900000000 3.6875491423 0.8799197000 2.3490164609 0.0000000000
4.6250012312 0.5900000000 3.6875579078 0.8799885564 2.3490790655 0.0000000000
4.6334423076 0.5900000000 3.6875671502 0.8800689559 2.3491481950 0.0000000000
4.6418833457 0.5900000000 3.6875768728 0.8801610719 2.3492239314 0.0000000000
4.6503243427 0.5900000000 3.6875870785 0.8802650779 2.3493063570 0.0000000000
4.6587652960 0.5900000000 3.6875977708 0.8803811475 2.3493955538 0.0000000000
4.6672062028 0.5900000000 3.6876089526 0.8805094541 2.3494916039 0.0000000000
4.6756470605 0.5900000000 3.6876206273 0.8806501712 2.3495945894 0.0000000000
4.6840878661 0.5900000000 3.6876327980 0.8808034723 2.3497045925 0.0000000000
4.6925286172 0.5900000000 3.6876454678 0.8809695309 2.3498216953 0.0000000000
4.7009693109 0.5900000000 3.6876586400 0.8811485204 2.3499459798 0.0000000000
4.7094099444 0.5900000000 3.6876723177 0.8813406144 2.3500775283 0.0000000000
4.7178505151 0.5900000000 3.6876865041 0.8815459863 2.3502164227 0.0000000000
4.7262910203 0.5900000000 3.6877012024 0.8817648097 2.3503627453 0.0000000000
4.7347314572 0.5900000000 3.6877164158 0.8819972580 2.3505165781 0.0000000000
4.7431718231 0.5900000000 3.6877321474 0.8822435047 2.3506780033 0.0000000000
4.7516121153 0.5900000000 3.6877484005 0.8825037232 2.3508471029 0.0000000000
4.7600523310 0.5900000000 3.6877651781 0.8827780872 2.3510239591 0.0000000000
4.7684924675 0.5900000000 3.6877824836 0.8830667696 2.3512086538 0.0000000000
4.7769325237 0.5900000000 3.6878003111 0.8833697237 2.3514011455 0.0000000000
4.7853725027 0.5900000000 3.6878186318 0.8836863237 2.3516010683 0.0000000000
4.7938124084 0.5900000000 3.6878374130 0.8840158498 2.3518080034 0.0000000000
4.8022522445 0.5900000000 3.6878566219 0.8843575821 2.3520215321 0.0000000000
4.8106920148 0.5900000000 3.6878762259 0.8847108008 2.3522412355 0.0000000000
4.8191317232 0.5900000000 3.6878961923 0.8850747859 2.3524666950 0.0000000000
4.8275713733 0.5900000000 3.6879164883 0.8854488178 2.3526974918 0.0000000000
4.8360109691 0.5900000000 3.6879370812 0.8858321764 2.3529332070 0.0000000000
4.8444505144 0.5900000000 3.6879579384 0.8862241419 2.3531734220 0.0000000000
4.8528900128 0.5900000000 3.6879790271 0.8866239944 2.3534177179 0.0000000000
4.8613294683 0.5900000000 3.6880003147 0.8870310142 2.3536656760 0.0000000000
4.8697688847 0.5900000000 3.6880217684 0.8874444813 2.3539168776 0.0000000000
4.8782082657 0.5900000000 3.6880433554 0.8878636758 2.3541709038 0.0000000000
4.8866476151 0.5900000000 3.6880650433 0.8882878780 2.3544273359 0.0000000000
4.8950869368 0.5900000000 3.6880867991 0.8887163679 2.3546857551 0.0000000000
4.9035262345 0.5900000000 3.6881085902 0.8891484257 2.3549457427 0.0000000000
4.9119655121 0.5900000000 3.6881303839 0.8895833315 2.3552068799 0.0000000000
4.9204047733 0.5900000000 3.6881521475 0.8900203655 2.3554687479 0.0000000000
4.9288440220 0.5900000000 3.6881738483 0.8904588077 2.3557309280 0.0000000000
4.9372832619 0.5900000000 3.6881954536 0.8908979384 2.3559930014 0.0000000000
4.9457224969 0.5900000000 3.6882169307 0.8913370377 2.3562545494 0.0000000000
4.9541617307 0.5900000000 3.6882382490 0.8917754160 2.3565151742 0.0000000000
4.9626009670 0.5900000000 3.6882593923 0.8922125711 2.3567746093 0.0000000000
4.9710402094 0.5900000000 3.6882803493 0.8926480722 2.3570326379 0.0000000000
4.9794794614 0.5900000000 3.6883011090 0.8930814889 2.3572890433 0.0000000000
4.9879187266 0.5900000000 3.6883216603 0.8935123906 2.3575436090 0.0000000000
4.9963580087 0.5900000000 3.6883419920 0.8939403467 2.3577961182 0.0000000000
5.0047973112 0.5900000000 3.6883620930 0.8943649267 2.3580463544 0.0000000000
5.0132366377 0.5900000000 3.6883819523 0.8947857001 2.3582941008 0.0000000000
5.0216759918 0.5900000000 3.6884015587 0.8952022362 2.3585391410 0.0000000000
5.0301153770 0.5900000000 3.6884209012 0.8956141045 2.3587812581 0.0000000000
5.0385547970 0.5900000000 3.6884399685 0.8960208745 2.3590202356 0.0000000000
5.0469942554 0.5900000000 3.6884587498 0.8964221157 2.3592558569 0.0000000000
5.0554337556 0.5900000000 3.6884772337 0.8968173974 2.3594879053 0.0000000000
5.0638733014 0.5900000000 3.6884954092 0.8972062891 2.3597161642 0.0000000000
