# logAge Mass logTe Mbol logg C/O
1.0422604067 0.3500000000 3.5527500000 1.8824500000 1.9840480444 0.0000000000
1.0842549273 0.3500000000 3.5527514544 1.8826297156 1.9841257483 0.0000000000
1.1262494616 0.3500000000 3.5527536224 1.8828246750 1.9842124039 0.0000000000
1.1682439994 0.3500000000 3.5527565037 1.8830379580 1.9843092422 0.0000000000
1.2102385307 0.3500000000 3.5527600980 1.8832726444 1.9844174943 0.0000000000
1.2522330453 0.3500000000 3.5527644054 1.8835318143 1.9845383915 0.0000000000
1.2942275330 0.3500000000 3.5527694254 1.8838185473 1.9846731649 0.0000000000
1.3362219838 0.3500000000 3.5527751580 1.8841359234 1.9848230456 0.0000000000
1.3782163876 0.3500000000 3.5527816029 1.8844870224 1.9849892648 0.0000000000
1.4202107342 0.3500000000 3.5527887599 1.8848749243 1.9851730536 0.0000000000
1.4622050135 0.3500000000 3.5527966288 1.8853027088 1.9853756431 0.0000000000
1.5041992153 0.3500000000 3.5528052095 1.8857734558 1.9855982646 0.0000000000
1.5461933297 0.3500000000 3.5528145017 1.8862902451 1.9858421491 0.0000000000
1.5881873460 0.3500000000 3.5528245040 1.8868562166 1.9861085470 0.0000000000
1.6301812428 0.3500000000 3.5528351785 1.8874763529 1.9863992995 0.0000000000
1.6721749860 0.3500000000 3.5528464446 1.8881577833 1.9867169362 0.0000000000
1.7141685406 0.3500000000 3.5528582194 1.8889077582 1.9870640254 0.0000000000
1.7561618699 0.3500000000 3.5528704982 1.8897334966 1.9874434358 0.0000000000
1.7981549258 0.3500000000 3.5528837669 1.8906420213 1.9878599204 0.0000000000
1.8401476558 0.3500000000 3.5528987011 1.8916402791 1.9883189606 0.0000000000
1.8821400001 0.3500000000 3.5529159662 1.8927360334 1.9888263224 0.0000000000
1.9241318601 0.3500000000 3.5529361716 1.8939412120 1.9893892155 0.0000000000
1.9661231253 0.3500000000 3.5529598819 1.8952690327 1.9900151852 0.0000000000
2.0081136770 0.3500000000 3.5529865857 1.8967313325 1.9907069203 0.0000000000
2.0501033858 0.3500000000 3.5530143697 1.8983381523 1.9914607843 0.0000000000
2.0920920881 0.3500000000 3.5530425925 1.9001020923 1.9922792512 0.0000000000
2.1340795357 0.3500000000 3.5530740482 1.9020424940 1.9931812346 0.0000000000
2.1760654730 0.3500000000 3.5531104612 1.9041773638 1.9941808346 0.0000000000
2.2180496601 0.3500000000 3.5531490767 1.9065180871 1.9952715859 0.0000000000
2.2600317587 0.3500000000 3.5531882283 1.9090822207 1.9964538457 0.0000000000
2.3020112271 0.3500000000 3.5532300902 1.9119018101 1.9977491290 0.0000000000
2.3439875465 0.3500000000 3.5532786622 1.9150007362 1.9991829876 0.0000000000
