age,mass,teff,Lbol,logg,radius
0.0030,0.002,933.,-4.764,3.338,0.1586
0.0030,0.003,1157.,-4.365,3.488,0.1634
0.0030,0.004,1319.,-4.107,3.583,0.1692
0.0030,0.005,1468.,-3.895,3.653,0.1744
0.0030,0.006,1545.,-3.785,3.711,0.1787
0.0030,0.007,1659.,-3.646,3.763,0.1819
0.0030,0.008,1820.,-3.466,3.802,0.1859
0.0030,0.009,1959.,-3.315,3.831,0.1908
0.0030,0.010,2048.,-3.216,3.854,0.1959
0.0030,0.011,2134.,-3.121,3.872,0.2010
0.0030,0.012,2203.,-3.044,3.888,0.2063
0.0030,0.013,2262.,-2.976,3.901,0.2115
0.0030,0.014,2315.,-2.914,3.911,0.2169
0.0030,0.015,2363.,-2.857,3.920,0.2223
0.0030,0.016,2408.,-2.801,3.925,0.2283
0.0040,0.002,864.,-4.920,3.359,0.1549
0.0040,0.003,1063.,-4.538,3.514,0.1586
0.0040,0.004,1232.,-4.255,3.613,0.1635
0.0040,0.005,1369.,-4.049,3.686,0.1679
0.0040,0.006,1489.,-3.883,3.745,0.1720
0.0040,0.007,1556.,-3.790,3.796,0.1752
0.0040,0.008,1700.,-3.623,3.841,0.1778
0.0040,0.009,1803.,-3.505,3.876,0.1811
0.0040,0.010,1943.,-3.356,3.903,0.1851
0.0040,0.011,2027.,-3.263,3.925,0.1893
0.0040,0.012,2112.,-3.171,3.942,0.1937
0.0040,0.013,2183.,-3.094,3.956,0.1984
0.0040,0.014,2247.,-3.020,3.966,0.2037
0.0040,0.015,2307.,-2.949,3.971,0.2097
0.0040,0.016,2364.,-2.878,3.969,0.2169
0.0040,0.017,2419.,-2.804,3.962,0.2255
0.0060,0.002,783.,-5.114,3.383,0.1505
0.0060,0.003,954.,-4.755,3.543,0.1534
0.0060,0.004,1119.,-4.458,3.648,0.1569
0.0060,0.005,1248.,-4.249,3.726,0.1605
0.0060,0.006,1360.,-4.082,3.788,0.1637
0.0060,0.007,1462.,-3.941,3.839,0.1666
0.0060,0.008,1535.,-3.845,3.885,0.1690
0.0060,0.009,1638.,-3.722,3.926,0.1709
0.0060,0.010,1747.,-3.598,3.960,0.1733
0.0060,0.011,1867.,-3.468,3.987,0.1762
0.0060,0.012,1958.,-3.370,4.010,0.1793
0.0060,0.013,2052.,-3.268,4.024,0.1836
0.0060,0.014,2146.,-3.163,4.028,0.1896
0.0060,0.015,2238.,-3.053,4.021,0.1979
0.0060,0.016,2322.,-2.947,4.007,0.2076
0.0060,0.017,2394.,-2.848,3.987,0.2189
0.0060,0.018,2456.,-2.760,3.969,0.2302
0.0080,0.002,746.,-5.216,3.401,0.1474
0.0080,0.003,890.,-4.895,3.563,0.1499
0.0080,0.004,1022.,-4.640,3.672,0.1527
0.0080,0.005,1162.,-4.400,3.752,0.1557
0.0080,0.006,1271.,-4.229,3.816,0.1584
0.0080,0.007,1367.,-4.089,3.870,0.1608
0.0080,0.008,1456.,-3.968,3.917,0.1629
0.0080,0.009,1529.,-3.874,3.959,0.1647
0.0080,0.010,1613.,-3.773,3.996,0.1662
0.0080,0.011,1735.,-3.636,4.027,0.1683
0.0080,0.012,1841.,-3.517,4.049,0.1713
0.0080,0.013,1955.,-3.389,4.060,0.1761
0.0080,0.014,2087.,-3.241,4.058,0.1832
0.0080,0.015,2205.,-3.099,4.041,0.1933
0.0080,0.016,2306.,-2.972,4.020,0.2046
0.0080,0.017,2382.,-2.867,3.999,0.2161
0.0080,0.018,2445.,-2.778,3.980,0.2272
0.0100,0.002,719.,-5.295,3.416,0.1450
0.0100,0.003,830.,-5.031,3.577,0.1475
0.0100,0.004,965.,-4.754,3.687,0.1500
0.0100,0.005,1097.,-4.518,3.771,0.1524
0.0100,0.006,1201.,-4.348,3.837,0.1547
0.0100,0.007,1301.,-4.197,3.892,0.1568
0.0100,0.008,1383.,-4.081,3.940,0.1587
