#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =     70.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     4.80106480     3.49017094    -2.36984777    -0.64201077
    2.00000000     0.13000000     4.80016932     3.49444833    -2.31717471    -0.62422875
    3.00000000     0.14000000     4.79902145     3.49828738    -2.26839446    -0.60751572
    4.00000000     0.15000000     4.79772862     3.50173954    -2.22319259    -0.59181811
    5.00000000     0.16000000     4.79634456     3.50485237    -2.18123237    -0.57706270
    6.00000000     0.17000000     4.79490955     3.50767241    -2.14217151    -0.56317139
    7.00000000     0.18000000     4.79346391     3.51024622    -2.10566772    -0.55006606
    8.00000000     0.19000000     4.79204791     3.51262035    -2.07137869    -0.53766861
    9.00000000     0.20000000     4.79070185     3.51484135    -2.03896214    -0.52590093
   10.00000000     0.21000000     4.78942483     3.51694825    -2.00809076    -0.51467741
   11.00000000     0.22000000     4.78805111     3.51895000    -1.97849726    -0.50388248
   12.00000000     0.23000000     4.78646398     3.52084981    -1.95000369    -0.49343453
   13.00000000     0.24000000     4.78490769     3.52265804    -1.92272964    -0.48341787
   14.00000000     0.25000000     4.78362907     3.52438707    -1.89679110    -0.47391648
   15.00000000     0.26000000     4.78252456     3.52605000    -1.87199215    -0.46484728
   16.00000000     0.27000000     4.78143207     3.52765856    -1.84808696    -0.45610201
   17.00000000     0.28000000     4.78030603     3.52921805    -1.82494186    -0.44763899
   18.00000000     0.29000000     4.77913582     3.53073421    -1.80245951    -0.43943535
   19.00000000     0.30000000     4.77793427     3.53222100    -1.78057579    -0.43147714
   20.00000000     0.31000000     4.77670699     3.53369178    -1.75922713    -0.42374678
   21.00000000     0.32000000     4.77540729     3.53514949    -1.73831900    -0.41620348
   22.00000000     0.33000000     4.77398724     3.53659509    -1.71776036    -0.40880816
   23.00000000     0.34000000     4.77244606     3.53803223    -1.69750519    -0.40155206
