#  Mix-Len	    Y 		 Z 		 [Fe/H]  [a/Fe]
#   1.884    0.2755  1.8757e-02   0.00    0.00
# 
#  Age =    160.00 Myr, No. Masses =   31
# 
#       N 			 Mass 		   log(g) 		 log(Teff) 		log(L/Lo) 		log(R/Ro)
    1.00000000     0.12000000     5.02471783     3.48411137    -2.61774491    -0.75383519
    2.00000000     0.13000000     5.02247166     3.48964818    -2.55869582    -0.73538183
    3.00000000     0.14000000     5.01959085     3.49450783    -2.50409954    -0.71780343
    4.00000000     0.15000000     5.01620142     3.49877637    -2.45352866    -0.70105723
    5.00000000     0.16000000     5.01240362     3.50253210    -2.40657321    -0.68509397
    6.00000000     0.17000000     5.00829122     3.50585140    -2.36282756    -0.66986273
    7.00000000     0.18000000     5.00395800     3.50881063    -2.32188609    -0.65531261
    8.00000000     0.19000000     4.99949774     3.51148617    -2.28334317    -0.64139271
    9.00000000     0.20000000     4.99500422     3.51395436    -2.24679319    -0.62805211
   10.00000000     0.21000000     4.99054866     3.51627786    -2.21188657    -0.61524113
   11.00000000     0.22000000     4.98611195     3.51846435    -2.17849802    -0.60291489
   12.00000000     0.23000000     4.98168271     3.52051255    -2.14656601    -0.59104265
   13.00000000     0.24000000     4.97737067     3.52244015    -2.11605976    -0.57964534
   14.00000000     0.25000000     4.97326238     3.52426793    -2.08691214    -0.56873042
   15.00000000     0.26000000     4.96923035     3.52601000    -2.05887968    -0.55820001
   16.00000000     0.27000000     4.96516057     3.52767667    -2.03175209    -0.54796650
   17.00000000     0.28000000     4.96120689     3.52926963    -2.00562801    -0.53808882
   18.00000000     0.29000000     4.95750097     3.53079892    -1.98055589    -0.52861656
   19.00000000     0.30000000     4.95381772     3.53231668    -1.95607434    -0.51941553
   20.00000000     0.31000000     4.94987440     3.53387298    -1.93167276    -0.51032320
   21.00000000     0.32000000     4.94551438     3.53546753    -1.90715345    -0.50124760
   22.00000000     0.33000000     4.94065080     3.53709148    -1.88242537    -0.49213329
   23.00000000     0.34000000     4.93534985     3.53875211    -1.85751140    -0.48300045
   24.00000000     0.35000000     4.92969857     3.54045972    -1.83244553    -0.47388028
   25.00000000     0.36000000     4.92371451     3.54222050    -1.80719251    -0.46477226
   26.00000000     0.37000000     4.91739542     3.54404025    -1.78169727    -0.45566598
   27.00000000     0.38000000     4.91072938     3.54592723    -1.75589491    -0.44654331
   28.00000000     0.39000000     4.90370568     3.54788929    -1.72972916    -0.43738797
   29.00000000     0.40000000     4.89632804     3.54993000    -1.70318804    -0.42819902
   30.00000000     0.41000000     4.88860433     3.55205083    -1.67626860    -0.41897758
   31.00000000     0.42000000     4.88054458     3.55424901    -1.64895952    -0.40971778
   32.00000000     0.43000000     4.87216709     3.55652116    -1.62126270    -0.40041802
   33.00000000     0.44000000     4.86352119     3.55886558    -1.59324109    -0.39110059
   34.00000000     0.45000000     4.85467442     3.56128035    -1.56497903    -0.38179781
   35.00000000     0.46000000     4.84573636     3.56376107    -1.53658515    -0.37255818
   36.00000000     0.47000000     4.83682782     3.56629857    -1.50819470    -0.36343520
   37.00000000     0.48000000     4.82807262     3.56886701    -1.48002493    -0.35448631
   38.00000000     0.49000000     4.81958510     3.57143918    -1.45229290    -0.34576492
   39.00000000     0.50000000     4.81143876     3.57399919    -1.42513283    -0.33730438
   40.00000000     0.51000000     4.80367621     3.57653556    -1.39862873    -0.32912257
   41.00000000     0.52000000     4.79625737     3.57904321    -1.37274669    -0.32119564
   42.00000000     0.53000000     4.78909037     3.58153405    -1.34733469    -0.31347437
   43.00000000     0.54000000     4.78195871     3.58408125    -1.32188613    -0.30584996
   44.00000000     0.55000000     4.77464356     3.58676388    -1.29586953    -0.29821158
   45.00000000     0.56000000     4.76704131     3.58962320    -1.26900850    -0.29050000
   46.00000000     0.57000000     4.75911847     3.59268770    -1.24114584    -0.28269187
   47.00000000     0.58000000     4.75100658     3.59597274    -1.21234603    -0.27485589
   48.00000000     0.59000000     4.74289783     3.59948928    -1.18275201    -0.26709112
   49.00000000     0.60000000     4.73506202     3.60324384    -1.15259898    -0.25952601
   50.00000000     0.61000000     4.72773098     3.60722185    -1.12216994    -0.25226982
   51.00000000     0.62000000     4.72090711     3.61132892    -1.09184699    -0.24532579
   52.00000000     0.63000000     4.71452531     3.61546983    -1.06194858    -0.23866361
   53.00000000     0.64000000     4.70847998     3.61962590    -1.03243954    -0.23222499
   54.00000000     0.65000000     4.70267600     3.62379720    -1.00321910    -0.22595627
   55.00000000     0.66000000     4.69710071     3.62798221    -0.97427779    -0.21985036
   56.00000000     0.67000000     4.69177154     3.63218401    -0.94561750    -0.21391663
   57.00000000     0.68000000     4.68674394     3.63642555    -0.91719445    -0.20818380
   58.00000000     0.69000000     4.68205426     3.64072556    -0.88896316    -0.20267006
   59.00000000     0.70000000     4.67762428     3.64506593    -0.86091703    -0.19733214
   60.00000000     0.71000000     4.67335624     3.64942044    -0.83306384    -0.19211707
   61.00000000     0.72000000     4.66918858     3.65376726    -0.80543000    -0.18699452
   62.00000000     0.73000000     4.66507538     3.65808787    -0.77804401    -0.18194297
   63.00000000     0.74000000     4.66099682     3.66237246    -0.75092397    -0.17695341
   64.00000000     0.75000000     4.65694154     3.66661447    -0.72408282    -0.17202043
   65.00000000     0.76000000     4.65290573     3.67081156    -0.69752320    -0.16714045
   66.00000000     0.77000000     4.64888748     3.67496242    -0.67124514    -0.16231033
   67.00000000     0.78000000     4.64488488     3.67906576    -0.64524870    -0.15752697
