age,mass,teff,Lbol,logg,radius,Li
0.001,0.001,942.,-4.72,3.00,0.166,1.000
0.001,0.002,1285.,-4.14,3.26,0.174,1.000
0.001,0.003,1553.,-3.75,3.37,0.187,1.000
0.001,0.004,1747.,-3.48,3.44,0.200,1.000
0.001,0.005,1901.,-3.27,3.47,0.215,1.000
0.001,0.006,2004.,-3.13,3.50,0.228,1.000
0.001,0.007,2098.,-3.00,3.51,0.242,1.000
0.001,0.008,2159.,-2.89,3.52,0.258,1.000
0.001,0.010,2240.,-2.82,3.60,0.261,1.000
0.001,0.012,2337.,-2.69,3.63,0.278,1.000
0.001,0.015,2450.,-2.52,3.63,0.309,1.000
0.001,0.020,2544.,-2.48,3.79,0.297,1.000
0.001,0.030,2703.,-2.13,3.72,0.398,1.000
0.001,0.040,2792.,-1.92,3.69,0.475,1.000
0.001,0.050,2846.,-1.73,3.63,0.569,1.000
0.001,0.055,2870.,-1.65,3.60,0.614,1.000
0.001,0.060,2893.,-1.57,3.58,0.658,1.000
0.001,0.070,2921.,-1.45,3.54,0.745,1.000
0.001,0.072,2925.,-1.42,3.53,0.764,1.000
0.001,0.075,2932.,-1.39,3.52,0.786,1.000
0.001,0.080,2941.,-1.34,3.50,0.829,1.000
0.001,0.090,2968.,-1.25,3.48,0.907,1.000
0.001,0.100,2998.,-1.16,3.45,0.982,1.000
0.005,0.002,901.,-4.92,3.43,0.143,1.000
0.005,0.003,1098.,-4.55,3.58,0.148,1.000
0.005,0.004,1263.,-4.28,3.68,0.152,1.000
0.005,0.005,1413.,-4.06,3.75,0.157,1.000
0.005,0.006,1543.,-3.89,3.80,0.161,1.000
0.005,0.007,1668.,-3.73,3.84,0.166,1.000
0.005,0.008,1786.,-3.58,3.87,0.171,1.000
0.005,0.010,1872.,-3.44,3.91,0.183,1.000
0.005,0.012,2036.,-3.26,3.96,0.190,1.000
0.005,0.015,2254.,-3.01,3.98,0.207,1.000
0.005,0.020,2504.,-2.64,3.93,0.255,1.000
0.005,0.030,2702.,-2.23,3.81,0.355,1.000
0.005,0.040,2798.,-2.07,3.84,0.396,1.000
0.005,0.050,2882.,-1.99,3.91,0.412,1.000
0.005,0.055,2914.,-1.95,3.93,0.421,1.000
0.005,0.060,2938.,-1.91,3.94,0.434,1.000
0.005,0.070,2981.,-1.83,3.96,0.461,1.000
0.005,0.072,2988.,-1.81,3.96,0.468,1.000
0.005,0.075,2998.,-1.79,3.96,0.476,1.000
0.010,0.003,920.,-4.91,3.63,0.139,1.000
0.010,0.004,1064.,-4.64,3.74,0.141,1.000
0.010,0.005,1193.,-4.43,3.82,0.144,1.000
0.010,0.006,1316.,-4.24,3.88,0.147,1.000
0.010,0.007,1426.,-4.09,3.94,0.149,1.000
0.010,0.008,1536.,-3.94,3.98,0.152,1.000
0.010,0.010,1608.,-3.81,4.02,0.162,1.000
0.010,0.012,1801.,-3.58,4.07,0.167,1.000
0.010,0.015,2168.,-3.14,4.05,0.192,1.000
0.010,0.020,2487.,-2.70,3.97,0.243,1.000
0.010,0.030,2667.,-2.49,4.05,0.270,1.000
0.010,0.040,2754.,-2.42,4.17,0.272,1.000
0.010,0.050,2839.,-2.30,4.20,0.294,1.000
0.010,0.055,2875.,-2.24,4.20,0.307,1.000
0.010,0.060,2906.,-2.20,4.21,0.318,1.000
0.010,0.070,2952.,-2.11,4.22,0.341,1.000
0.010,0.072,2961.,-2.09,4.22,0.346,1.000
0.010,0.075,2974.,-2.06,4.22,0.354,1.000
0.010,0.080,2994.,-2.02,4.22,0.365,1.000
0.050,0.007,928.,-4.98,4.08,0.127,1.000
0.050,0.008,1010.,-4.83,4.14,0.127,1.000
0.050,0.010,1069.,-4.66,4.16,0.137,1.000
0.050,0.012,1439.,-4.09,4.19,0.146,1.000
0.050,0.015,1825.,-3.61,4.22,0.158,1.000
0.050,0.020,1760.,-3.78,4.44,0.140,1.000
0.050,0.030,2201.,-3.35,4.58,0.147,1.000
0.050,0.040,2475.,-3.09,4.65,0.157,1.000
0.050,0.050,2652.,-2.90,4.67,0.170,1.000
0.050,0.055,2713.,-2.83,4.69,0.176,1.000
0.050,0.060,2765.,-2.76,4.69,0.183,0.999
0.050,0.070,2846.,-2.65,4.70,0.196,0.993
0.050,0.072,2860.,-2.63,4.70,0.199,0.990
0.050,0.075,2881.,-2.60,4.70,0.203,0.984
0.050,0.080,2911.,-2.55,4.70,0.210,0.965
0.050,0.090,2959.,-2.48,4.70,0.222,0.871
0.100,0.010,916.,-4.98,4.21,0.130,1.000
0.100,0.012,1333.,-4.25,4.22,0.141,1.000
0.100,0.015,1290.,-4.37,4.37,0.132,1.000
0.100,0.020,1441.,-4.21,4.53,0.127,1.000
0.100,0.030,1878.,-3.75,4.71,0.127,1.000
0.100,0.040,2234.,-3.41,4.80,0.132,1.000
0.100,0.050,2483.,-3.18,4.84,0.140,0.999
0.100,0.055,2576.,-3.09,4.86,0.145,0.992
0.100,0.060,2652.,-3.01,4.87,0.149,0.963
0.100,0.070,2768.,-2.88,4.88,0.159,0.668
0.100,0.072,2787.,-2.86,4.88,0.161,0.538
0.100,0.075,2814.,-2.83,4.88,0.164,0.329
0.100,0.080,2854.,-2.78,4.89,0.169,0.066
0.100,0.090,2920.,-2.69,4.89,0.178,0.000
0.100,0.100,2971.,-2.63,4.90,0.185,0.000
0.120,0.012,1309.,-4.29,4.22,0.140,1.000
0.120,0.015,1188.,-4.54,4.40,0.128,1.000
0.120,0.020,1351.,-4.34,4.55,0.124,1.000
0.120,0.030,1782.,-3.86,4.73,0.124,1.000
0.120,0.040,2151.,-3.51,4.83,0.127,1.000
0.120,0.050,2422.,-3.26,4.88,0.134,0.998
0.120,0.055,2519.,-3.17,4.90,0.138,0.982
0.120,0.060,2606.,-3.09,4.91,0.142,0.913
0.120,0.070,2737.,-2.95,4.93,0.151,0.344
0.120,0.072,2758.,-2.92,4.93,0.152,0.193
0.120,0.075,2787.,-2.89,4.93,0.155,0.047
0.120,0.080,2831.,-2.84,4.94,0.159,0.000
0.120,0.090,2904.,-2.75,4.94,0.168,0.000
0.500,0.020,901.,-5.14,4.65,0.111,1.000
0.500,0.030,1170.,-4.73,4.86,0.106,1.000
0.500,0.040,1461.,-4.36,5.01,0.104,1.000
0.500,0.050,1751.,-4.06,5.11,0.103,0.954
0.500,0.055,1902.,-3.91,5.15,0.103,0.561
0.500,0.060,2048.,-3.78,5.19,0.104,0.007
0.500,0.070,2295.,-3.56,5.23,0.106,0.000
0.500,0.072,2332.,-3.52,5.24,0.107,0.000
0.500,0.075,2400.,-3.46,5.24,0.108,0.000
0.500,0.080,2505.,-3.37,5.25,0.111,0.000
0.500,0.090,2678.,-3.19,5.24,0.118,0.000
0.500,0.100,2809.,-3.05,5.23,0.128,0.000
1.000,0.030,958.,-5.11,4.90,0.102,1.000
1.000,0.040,1189.,-4.77,5.06,0.098,1.000
1.000,0.050,1424.,-4.48,5.18,0.096,0.932
1.000,0.055,1550.,-4.34,5.22,0.095,0.379
1.000,0.060,1675.,-4.21,5.27,0.094,0.000
1.000,0.070,2012.,-3.88,5.32,0.096,0.000
1.000,0.072,2089.,-3.80,5.32,0.097,0.000
1.000,0.075,2185.,-3.71,5.33,0.098,0.000
1.000,0.080,2358.,-3.54,5.32,0.103,0.000
1.000,0.090,2625.,-3.27,5.28,0.113,0.000
1.000,0.100,2790.,-3.08,5.25,0.125,0.000
5.000,0.050,907.,-5.35,5.26,0.086,0.921
5.000,0.055,990.,-5.21,5.32,0.085,0.284
5.000,0.060,1097.,-5.04,5.37,0.084,0.000
5.000,0.070,1593.,-4.36,5.40,0.087,0.000
5.000,0.072,1754.,-4.18,5.40,0.089,0.000
5.000,0.075,1998.,-3.92,5.38,0.092,0.000
5.000,0.080,2295.,-3.61,5.34,0.100,0.000
5.000,0.090,2621.,-3.28,5.29,0.113,0.000
5.000,0.100,2791.,-3.08,5.25,0.124,0.000
10.00,0.060,971.,-5.29,5.40,0.081,0.000
10.00,0.070,1552.,-4.42,5.41,0.086,0.000
10.00,0.072,1744.,-4.19,5.40,0.089,0.000
10.00,0.075,1998.,-3.92,5.38,0.092,0.000
10.00,0.080,2297.,-3.61,5.34,0.100,0.000
10.00,0.090,2622.,-3.27,5.29,0.113,0.000
10.00,0.100,2793.,-3.08,5.25,0.124,0.000
