# logAge Mass logTe Mbol logg C/O
-0.5054055187 4.2000000000 3.6502400000 -5.1395750000 0.6443792904 0.0000000000
-0.4700377821 4.2000000000 3.6502503905 -5.1393474302 0.6445118801 0.0000000000
-0.4346700799 4.2000000000 3.6502615212 -5.1390881797 0.6446601035 0.0000000000
-0.3993024185 4.2000000000 3.6502729674 -5.1387963295 0.6448226282 0.0000000000
-0.3639348040 4.2000000000 3.6502843040 -5.1384709606 0.6449981221 0.0000000000
-0.3285672426 4.2000000000 3.6502951060 -5.1381111538 0.6451852529 0.0000000000
-0.2931997407 4.2000000000 3.6503050075 -5.1377159490 0.6453829407 0.0000000000
-0.2578323084 4.2000000000 3.6503148920 -5.1372835137 0.6455954529 0.0000000000
-0.2224649590 4.2000000000 3.6503268366 -5.1368111825 0.6458321640 0.0000000000
-0.1870977064 4.2000000000 3.6503426248 -5.1362962447 0.6461012919 0.0000000000
-0.1517305650 4.2000000000 3.6503613192 -5.1357358958 0.6464002089 0.0000000000
-0.1163635493 4.2000000000 3.6503806811 -5.1351272864 0.6467211003 0.0000000000
-0.0809966797 4.2000000000 3.6503990717 -5.1344666511 0.6470589167 0.0000000000
-0.0456299968 4.2000000000 3.6504170356 -5.1337469359 0.6474186585 0.0000000000
-0.0102635459 4.2000000000 3.6504356077 -5.1329603715 0.6478075724 0.0000000000
0.0251026339 4.2000000000 3.6504558181 -5.1321010483 0.6482321434 0.0000000000
0.0604685133 4.2000000000 3.6504786894 -5.1311662491 0.6486975484 0.0000000000
0.0958340606 4.2000000000 3.6505051516 -5.1301530987 0.6492086574 0.0000000000
0.1311991752 4.2000000000 3.6505344797 -5.1290502047 0.6497671274 0.0000000000
0.1665636977 4.2000000000 3.6505645139 -5.1278387899 0.6503718300 0.0000000000
0.2019274984 4.2000000000 3.6505936850 -5.1265046708 0.6510221621 0.0000000000
0.2372906745 4.2000000000 3.6506249342 -5.1250678547 0.6517218855 0.0000000000
0.2726534208 4.2000000000 3.6506631456 -5.1235630753 0.6524766425 0.0000000000
0.3080158114 4.2000000000 3.6507116297 -5.1220082252 0.6532925193 0.0000000000
0.3433775313 4.2000000000 3.6507686171 -5.1203668883 0.6541770034 0.0000000000
0.3787381895 4.2000000000 3.6508313391 -5.1185920603 0.6551378226 0.0000000000
0.4140975022 4.2000000000 3.6508982165 -5.1166548094 0.6561802326 0.0000000000
0.4494553529 4.2000000000 3.6509695169 -5.1145542681 0.6573056509 0.0000000000
0.4848116258 4.2000000000 3.6510456895 -5.1122910971 0.6585156097 0.0000000000
0.5201660008 4.2000000000 3.6511275292 -5.1098521602 0.6598185432 0.0000000000
0.5555179967 4.2000000000 3.6512161027 -5.1072134650 0.6612283154 0.0000000000
0.5908671795 4.2000000000 3.6513124858 -5.1043540917 0.6627575971 0.0000000000
0.6262134403 4.2000000000 3.6514177644 -5.1012743301 0.6644106158 0.0000000000
0.6615567962 4.2000000000 3.6515330266 -5.0979826861 0.6661883224 0.0000000000
0.6968966875 4.2000000000 3.6516578806 -5.0944606409 0.6680965563 0.0000000000
0.7322308825 4.2000000000 3.6517876440 -5.0906113025 0.6701553452 0.0000000000
0.7675568645 4.2000000000 3.6519169327 -5.0863247601 0.6723871172 0.0000000000
0.8028728987 4.2000000000 3.6520437694 -5.0815438098 0.6748068441 0.0000000000
0.8381783617 4.2000000000 3.6521710201 -5.0762861829 0.6774188977 0.0000000000
0.8734726503 4.2000000000 3.6523018380 -5.0705731763 0.6802273720 0.0000000000
0.9087542725 4.2000000000 3.6524382439 -5.0643964745 0.6832436763 0.0000000000
0.9440210895 4.2000000000 3.6525814342 -5.0577262054 0.6864845451 0.0000000000
0.9792714342 4.2000000000 3.6527334924 -5.0505435992 0.6899658202 0.0000000000
1.0145064879 4.2000000000 3.6529018055 -5.0428977508 0.6936974120 0.0000000000
1.0497284612 4.2000000000 3.6530956760 -5.0348622812 0.6976870821 0.0000000000
1.0849360795 4.2000000000 3.6533176503 -5.0264352414 0.7019457949 0.0000000000
1.1201184000 4.2000000000 3.6535515304 -5.0174050200 0.7064934041 0.0000000000
1.1552634358 4.2000000000 3.6537791236 -5.0075370188 0.7113509775 0.0000000000
1.1903743886 4.2000000000 3.6540123892 -4.9969174302 0.7165318751 0.0000000000
1.2254701531 4.2000000000 3.6542944478 -4.9859639857 0.7220414874 0.0000000000
1.2605545106 4.2000000000 3.6546407734 -4.9748028385 0.7278912485 0.0000000000
1.2955932942 4.2000000000 3.6549971413 -4.9628247363 0.7341079610 0.0000000000
1.3305682530 4.2000000000 3.6553370092 -4.9497102571 0.7407132245 0.0000000000
1.3655095412 4.2000000000 3.6557192444 -4.9360361897 0.7477117923 0.0000000000
1.4004305689 4.2000000000 3.6561729963 -4.9220745193 0.7551114679 0.0000000000
1.4353051357 4.2000000000 3.6566583359 -4.9073920771 0.7629258030 0.0000000000
1.4700866665 4.2000000000 3.6571117315 -4.8914021803 0.7711353441 0.0000000000
1.5047449027 4.2000000000 3.6575077446 -4.8738062532 0.7797577675 0.0000000000
1.5393240871 4.2000000000 3.6579525100 -4.8552587499 0.7889558303 0.0000000000
