# logAge Mass logTe Mbol logg C/O
4.1860800861 1.5000000000 3.7880200000 -0.2330000000 2.7109712591 0.0000000000
4.1937736780 1.5000000000 3.7880153431 -0.2329455579 2.7109744083 0.0000000000
4.2014672835 1.5000000000 3.7880102160 -0.2328895906 2.7109762867 0.0000000000
4.2091609023 1.5000000000 3.7880046203 -0.2328321972 2.7109768613 0.0000000000
4.2168545340 1.5000000000 3.7879985577 -0.2327734765 2.7109760992 0.0000000000
4.2245481782 1.5000000000 3.7879920299 -0.2327135276 2.7109739677 0.0000000000
4.2322418346 1.5000000000 3.7879850386 -0.2326524494 2.7109704337 0.0000000000
4.2399355029 1.5000000000 3.7879775854 -0.2325903410 2.7109654644 0.0000000000
4.2476291826 1.5000000000 3.7879696721 -0.2325273013 2.7109590270 0.0000000000
4.2553228735 1.5000000000 3.7879613003 -0.2324634293 2.7109510885 0.0000000000
4.2630165751 1.5000000000 3.7879524716 -0.2323988239 2.7109416161 0.0000000000
4.2707102870 1.5000000000 3.7879431879 -0.2323335842 2.7109305769 0.0000000000
4.2784040090 1.5000000000 3.7879334506 -0.2322678091 2.7109179380 0.0000000000
4.2860977407 1.5000000000 3.7879232616 -0.2322015977 2.7109036665 0.0000000000
4.2937914816 1.5000000000 3.7879126225 -0.2321350488 2.7108877296 0.0000000000
4.3014852315 1.5000000000 3.7879015350 -0.2320682615 2.7108700944 0.0000000000
4.3091789900 1.5000000000 3.7878900007 -0.2320013348 2.7108507279 0.0000000000
4.3168727567 1.5000000000 3.7878780213 -0.2319343676 2.7108295974 0.0000000000
4.3245665313 1.5000000000 3.7878655986 -0.2318674589 2.7108066699 0.0000000000
4.3322603133 1.5000000000 3.7878527342 -0.2318007077 2.7107819126 0.0000000000
4.3399541025 1.5000000000 3.7878394297 -0.2317342130 2.7107552925 0.0000000000
4.3476478985 1.5000000000 3.7878256868 -0.2316680738 2.7107267769 0.0000000000
4.3553417008 1.5000000000 3.7878115073 -0.2316023890 2.7106963327 0.0000000000
4.3630355092 1.5000000000 3.7877968928 -0.2315372576 2.7106639272 0.0000000000
4.3707293233 1.5000000000 3.7877818450 -0.2314727787 2.7106295275 0.0000000000
4.3784231428 1.5000000000 3.7877663655 -0.2314090511 2.7105931006 0.0000000000
4.3861169672 1.5000000000 3.7877504561 -0.2313461739 2.7105546138 0.0000000000
4.3938107962 1.5000000000 3.7877341183 -0.2312842460 2.7105140340 0.0000000000
4.4015046294 1.5000000000 3.7877173540 -0.2312233665 2.7104713285 0.0000000000
4.4091984666 1.5000000000 3.7877001648 -0.2311636342 2.7104264644 0.0000000000
4.4168923072 1.5000000000 3.7876825522 -0.2311051483 2.7103794087 0.0000000000
4.4245861511 1.5000000000 3.7876645182 -0.2310480076 2.7103301287 0.0000000000
4.4322799977 1.5000000000 3.7876460642 -0.2309923112 2.7102785913 0.0000000000
4.4399738467 1.5000000000 3.7876271920 -0.2309381580 2.7102247638 0.0000000000
4.4476676979 1.5000000000 3.7876079033 -0.2308856470 2.7101686133 0.0000000000
4.4553615507 1.5000000000 3.7875881997 -0.2308348772 2.7101101068 0.0000000000
4.4630554049 1.5000000000 3.7875680829 -0.2307859476 2.7100492116 0.0000000000
4.4707492601 1.5000000000 3.7875475546 -0.2307389572 2.7099858947 0.0000000000
4.4784431160 1.5000000000 3.7875266165 -0.2306940049 2.7099201232 0.0000000000
4.4861369721 1.5000000000 3.7875052703 -0.2306511897 2.7098518643 0.0000000000
4.4938308281 1.5000000000 3.7874835176 -0.2306106106 2.7097810851 0.0000000000
4.5015246837 1.5000000000 3.7874613601 -0.2305723666 2.7097077527 0.0000000000
4.5092185385 1.5000000000 3.7874387994 -0.2305365566 2.7096318342 0.0000000000
4.5169123920 1.5000000000 3.7874158374 -0.2305032797 2.7095532967 0.0000000000
4.5246062441 1.5000000000 3.7873924756 -0.2304726348 2.7094721074 0.0000000000
4.5323000943 1.5000000000 3.7873687157 -0.2304447209 2.7093882334 0.0000000000
4.5399939422 1.5000000000 3.7873445594 -0.2304196370 2.7093016419 0.0000000000
4.5476877874 1.5000000000 3.7873200084 -0.2303974821 2.7092122998 0.0000000000
4.5553816298 1.5000000000 3.7872950643 -0.2303783551 2.7091201744 0.0000000000
4.5630754687 1.5000000000 3.7872697289 -0.2303623551 2.7090252328 0.0000000000
4.5707693040 1.5000000000 3.7872440038 -0.2303495809 2.7089274420 0.0000000000
4.5784631352 1.5000000000 3.7872178907 -0.2303401316 2.7088267693 0.0000000000
4.5861569620 1.5000000000 3.7871913913 -0.2303341062 2.7087231816 0.0000000000
4.5938507840 1.5000000000 3.7871645072 -0.2303316037 2.7086166463 0.0000000000
4.6015446008 1.5000000000 3.7871372401 -0.2303327230 2.7085071303 0.0000000000
4.6092384122 1.5000000000 3.7871095917 -0.2303375631 2.7083946008 0.0000000000
4.6169322177 1.5000000000 3.7870815638 -0.2303462230 2.7082790249 0.0000000000
4.6246260169 1.5000000000 3.7870531578 -0.2303588017 2.7081603697 0.0000000000
4.6323198096 1.5000000000 3.7870243757 -0.2303753981 2.7080386024 0.0000000000
4.6400135953 1.5000000000 3.7869952189 -0.2303961112 2.7079136901 0.0000000000
4.6477073737 1.5000000000 3.7869656892 -0.2304210401 2.7077855999 0.0000000000
4.6554011444 1.5000000000 3.7869357883 -0.2304502837 2.7076542988 0.0000000000
4.6630949071 1.5000000000 3.7869055179 -0.2304839410 2.7075197542 0.0000000000
4.6707886614 1.5000000000 3.7868748796 -0.2305221109 2.7073819329 0.0000000000
4.6784824070 1.5000000000 3.7868438750 -0.2305648924 2.7072408023 0.0000000000
4.6861761434 1.5000000000 3.7868125060 -0.2306123846 2.7070963293 0.0000000000
4.6938698703 1.5000000000 3.7867807742 -0.2306646864 2.7069484811 0.0000000000
4.7015635874 1.5000000000 3.7867486811 -0.2307218968 2.7067972249 0.0000000000
4.7092572943 1.5000000000 3.7867162286 -0.2307841147 2.7066425278 0.0000000000
4.7169509907 1.5000000000 3.7866834183 -0.2308514392 2.7064843568 0.0000000000
4.7246446761 1.5000000000 3.7866502519 -0.2309239692 2.7063226791 0.0000000000
4.7323383502 1.5000000000 3.7866167311 -0.2310018037 2.7061574618 0.0000000000
4.7400320127 1.5000000000 3.7865828574 -0.2310850417 2.7059886721 0.0000000000
4.7477256632 1.5000000000 3.7865486327 -0.2311737822 2.7058162770 0.0000000000
4.7554193013 1.5000000000 3.7865140586 -0.2312681241 2.7056402437 0.0000000000
4.7631129267 1.5000000000 3.7864791367 -0.2313681664 2.7054605393 0.0000000000
4.7708065390 1.5000000000 3.7864438690 -0.2314740038 2.7052771337 0.0000000000
4.7785001381 1.5000000000 3.7864082648 -0.2315856070 2.7050900756 0.0000000000
4.7861937242 1.5000000000 3.7863723415 -0.2317028075 2.7048995020 0.0000000000
4.7938872974 1.5000000000 3.7863361169 -0.2318254298 2.7047055548 0.0000000000
4.8015808579 1.5000000000 3.7862996090 -0.2319532980 2.7045083757 0.0000000000
4.8092744060 1.5000000000 3.7862628355 -0.2320862365 2.7043081065 0.0000000000
4.8169679417 1.5000000000 3.7862258144 -0.2322240696 2.7041048889 0.0000000000
4.8246614652 1.5000000000 3.7861885636 -0.2323666216 2.7038988647 0.0000000000
4.8323549768 1.5000000000 3.7861511008 -0.2325137168 2.7036901756 0.0000000000
4.8400484766 1.5000000000 3.7861134441 -0.2326651795 2.7034789635 0.0000000000
4.8477419647 1.5000000000 3.7860756112 -0.2328208340 2.7032653701 0.0000000000
4.8554354414 1.5000000000 3.7860376200 -0.2329805046 2.7030495372 0.0000000000
4.8631289068 1.5000000000 3.7859994884 -0.2331440156 2.7028316065 0.0000000000
4.8708223611 1.5000000000 3.7859612343 -0.2333111913 2.7026117197 0.0000000000
4.8785158045 1.5000000000 3.7859228755 -0.2334818560 2.7023900188 0.0000000000
4.8862092372 1.5000000000 3.7858844300 -0.2336558340 2.7021666453 0.0000000000
4.8939026592 1.5000000000 3.7858459155 -0.2338329496 2.7019417412 0.0000000000
4.9015960709 1.5000000000 3.7858073500 -0.2340130271 2.7017154481 0.0000000000
4.9092894724 1.5000000000 3.7857687513 -0.2341958908 2.7014879078 0.0000000000
4.9169828638 1.5000000000 3.7857301373 -0.2343813650 2.7012592621 0.0000000000
4.9246762453 1.5000000000 3.7856915258 -0.2345692741 2.7010296528 0.0000000000
4.9323696172 1.5000000000 3.7856529348 -0.2347594422 2.7007992215 0.0000000000
4.9400629795 1.5000000000 3.7856143822 -0.2349516937 2.7005681102 0.0000000000
4.9477563324 1.5000000000 3.7855758857 -0.2351458530 2.7003364605 0.0000000000
4.9554496765 1.5000000000 3.7855374613 -0.2353417314 2.7001044117 0.0000000000
4.9631430126 1.5000000000 3.7854991195 -0.2355391033 2.6998720959 0.0000000000
4.9708363419 1.5000000000 3.7854608698 -0.2357377361 2.6996396437 0.0000000000
4.9785296655 1.5000000000 3.7854227214 -0.2359373975 2.6994071859 0.0000000000
4.9862229847 1.5000000000 3.7853846840 -0.2361378548 2.6991748531 0.0000000000
4.9939163004 1.5000000000 3.7853467668 -0.2363388757 2.6989427762 0.0000000000
5.0016096140 1.5000000000 3.7853089794 -0.2365402275 2.6987110858 0.0000000000
5.0093029264 1.5000000000 3.7852713312 -0.2367416780 2.6984799126 0.0000000000
5.0169962389 1.5000000000 3.7852338315 -0.2369429945 2.6982493873 0.0000000000
5.0246895526 1.5000000000 3.7851964899 -0.2371439445 2.6980196407 0.0000000000
5.0323828685 1.5000000000 3.7851593157 -0.2373442957 2.6977908034 0.0000000000
5.0400761880 1.5000000000 3.7851223183 -0.2375438155 2.6975630062 0.0000000000
5.0477695120 1.5000000000 3.7850855073 -0.2377422714 2.6973363798 0.0000000000
5.0554628418 1.5000000000 3.7850488921 -0.2379394310 2.6971110549 0.0000000000
5.0631561784 1.5000000000 3.7850124820 -0.2381350617 2.6968871623 0.0000000000
5.0708495231 1.5000000000 3.7849762865 -0.2383289311 2.6966648325 0.0000000000
5.0785428769 1.5000000000 3.7849403150 -0.2385208067 2.6964441964 0.0000000000
5.0862362409 1.5000000000 3.7849045770 -0.2387104560 2.6962253847 0.0000000000
5.0939296165 1.5000000000 3.7848690819 -0.2388976465 2.6960085280 0.0000000000
5.1016230045 1.5000000000 3.7848338391 -0.2390821460 2.6957937570 0.0000000000
5.1093164059 1.5000000000 3.7847988544 -0.2392637793 2.6955811648 0.0000000000
5.1170098205 1.5000000000 3.7847641249 -0.2394425082 2.6953707552 0.0000000000
5.1247032481 1.5000000000 3.7847296464 -0.2396183144 2.6951625190 0.0000000000
5.1323966883 1.5000000000 3.7846954149 -0.2397911796 2.6949564466 0.0000000000
5.1400901409 1.5000000000 3.7846614260 -0.2399610857 2.6947525289 0.0000000000
5.1477836057 1.5000000000 3.7846276758 -0.2401280143 2.6945507565 0.0000000000
5.1554770824 1.5000000000 3.7845941600 -0.2402919473 2.6943511200 0.0000000000
5.1631705707 1.5000000000 3.7845608744 -0.2404528663 2.6941536102 0.0000000000
5.1708640704 1.5000000000 3.7845278149 -0.2406107530 2.6939582176 0.0000000000
5.1785575811 1.5000000000 3.7844949774 -0.2407655894 2.6937649330 0.0000000000
5.1862511028 1.5000000000 3.7844623577 -0.2409173570 2.6935737471 0.0000000000
5.1939446350 1.5000000000 3.7844299516 -0.2410660377 2.6933846504 0.0000000000
5.2016381775 1.5000000000 3.7843977550 -0.2412116132 2.6931976338 0.0000000000
5.2093317302 1.5000000000 3.7843657637 -0.2413540653 2.6930126877 0.0000000000
5.2170252926 1.5000000000 3.7843339736 -0.2414933756 2.6928298030 0.0000000000
5.2247188645 1.5000000000 3.7843023804 -0.2416295259 2.6926489703 0.0000000000
5.2324124458 1.5000000000 3.7842709801 -0.2417624981 2.6924701802 0.0000000000
5.2401060360 1.5000000000 3.7842397684 -0.2418922743 2.6922934230 0.0000000000
5.2477996350 1.5000000000 3.7842087369 -0.2420188716 2.6921186580 0.0000000000
5.2554932424 1.5000000000 3.7841778705 -0.2421423614 2.6919457964 0.0000000000
5.2631868578 1.5000000000 3.7841471535 -0.2422628200 2.6917747450 0.0000000000
5.2708804808 1.5000000000 3.7841165703 -0.2423803236 2.6916054109 0.0000000000
5.2785741112 1.5000000000 3.7840861053 -0.2424949483 2.6914377009 0.0000000000
5.2862677485 1.5000000000 3.7840557427 -0.2426067704 2.6912715219 0.0000000000
5.2939613925 1.5000000000 3.7840254670 -0.2427158662 2.6911067808 0.0000000000
5.3016550427 1.5000000000 3.7839952625 -0.2428223117 2.6909433845 0.0000000000
5.3093486989 1.5000000000 3.7839651136 -0.2429261833 2.6907812400 0.0000000000
5.3170423606 1.5000000000 3.7839350045 -0.2430275572 2.6906202541 0.0000000000
5.3247360275 1.5000000000 3.7839049196 -0.2431265096 2.6904603338 0.0000000000
5.3324296992 1.5000000000 3.7838748434 -0.2432231166 2.6903013859 0.0000000000
5.3401233755 1.5000000000 3.7838447600 -0.2433174546 2.6901433173 0.0000000000
5.3478170559 1.5000000000 3.7838146540 -0.2434095997 2.6899860351 0.0000000000
5.3555107401 1.5000000000 3.7837845095 -0.2434996282 2.6898294460 0.0000000000
5.3632044278 1.5000000000 3.7837543111 -0.2435876162 2.6896734569 0.0000000000
5.3708981186 1.5000000000 3.7837240459 -0.2436736345 2.6895179890 0.0000000000
5.3785918123 1.5000000000 3.7836937197 -0.2437577197 2.6893630499 0.0000000000
5.3862855091 1.5000000000 3.7836633449 -0.2438398955 2.6892086806 0.0000000000
5.3939792088 1.5000000000 3.7836329343 -0.2439201856 2.6890549219 0.0000000000
5.4016729113 1.5000000000 3.7836025003 -0.2439986136 2.6889018149 0.0000000000
5.4093666168 1.5000000000 3.7835720557 -0.2440752032 2.6887494004 0.0000000000
5.4170603250 1.5000000000 3.7835416129 -0.2441499780 2.6885977194 0.0000000000
5.4247540359 1.5000000000 3.7835111846 -0.2442229618 2.6884468128 0.0000000000
5.4324477496 1.5000000000 3.7834807834 -0.2442941781 2.6882967215 0.0000000000
5.4401414660 1.5000000000 3.7834504219 -0.2443636507 2.6881474865 0.0000000000
5.4478351851 1.5000000000 3.7834201127 -0.2444314032 2.6879991488 0.0000000000
5.4555289067 1.5000000000 3.7833898684 -0.2444974592 2.6878517492 0.0000000000
5.4632226309 1.5000000000 3.7833597016 -0.2445618425 2.6877053286 0.0000000000
5.4709163576 1.5000000000 3.7833296249 -0.2446245766 2.6875599281 0.0000000000
5.4786100868 1.5000000000 3.7832996509 -0.2446856853 2.6874155886 0.0000000000
5.4863038184 1.5000000000 3.7832697918 -0.2447451923 2.6872723495 0.0000000000
5.4939975523 1.5000000000 3.7832400406 -0.2448031269 2.6871301706 0.0000000000
5.5016912884 1.5000000000 3.7832103606 -0.2448595266 2.6869888910 0.0000000000
5.5093850263 1.5000000000 3.7831807131 -0.2449144296 2.6868483397 0.0000000000
5.5170787658 1.5000000000 3.7831510591 -0.2449678742 2.6867083457 0.0000000000
5.5247725067 1.5000000000 3.7831213596 -0.2450198986 2.6865687381 0.0000000000
5.5324662488 1.5000000000 3.7830915758 -0.2450705411 2.6864293458 0.0000000000
5.5401599918 1.5000000000 3.7830616687 -0.2451198398 2.6862899979 0.0000000000
5.5478537354 1.5000000000 3.7830315994 -0.2451678331 2.6861505234 0.0000000000
5.5555474795 1.5000000000 3.7830013290 -0.2452145592 2.6860107512 0.0000000000
