age,mass,teff,Lbol,logg,radius
0.0030,0.002,1027.,-4.640,3.380,0.1512
0.0030,0.003,1262.,-4.230,3.504,0.1605
0.0030,0.004,1357.,-4.060,3.585,0.1688
0.0030,0.005,1461.,-3.902,3.653,0.1744
0.0030,0.006,1546.,-3.784,3.712,0.1787
0.0030,0.007,1658.,-3.647,3.763,0.1819
0.0030,0.008,1820.,-3.466,3.802,0.1859
0.0030,0.009,1959.,-3.315,3.831,0.1908
0.0030,0.010,2048.,-3.216,3.854,0.1959
0.0030,0.011,2134.,-3.121,3.872,0.2010
0.0030,0.012,2203.,-3.044,3.888,0.2063
0.0030,0.013,2262.,-2.976,3.901,0.2115
0.0030,0.014,2315.,-2.914,3.911,0.2169
0.0030,0.015,2363.,-2.857,3.920,0.2223
0.0030,0.016,2408.,-2.801,3.925,0.2283
0.0040,0.002,946.,-4.808,3.404,0.1469
0.0040,0.003,1203.,-4.349,3.540,0.1540
0.0040,0.004,1312.,-4.153,3.619,0.1622
0.0040,0.005,1382.,-4.032,3.686,0.1680
0.0040,0.006,1487.,-3.885,3.745,0.1720
0.0040,0.007,1557.,-3.789,3.796,0.1751
0.0040,0.008,1700.,-3.623,3.841,0.1778
0.0040,0.009,1803.,-3.505,3.876,0.1811
0.0040,0.010,1943.,-3.356,3.903,0.1851
0.0040,0.011,2027.,-3.263,3.925,0.1893
0.0040,0.012,2112.,-3.171,3.942,0.1937
0.0040,0.013,2183.,-3.094,3.956,0.1984
0.0040,0.014,2247.,-3.020,3.966,0.2037
0.0040,0.015,2307.,-2.949,3.971,0.2097
0.0040,0.016,2364.,-2.878,3.969,0.2169
0.0040,0.017,2419.,-2.804,3.962,0.2255
0.0060,0.002,843.,-5.036,3.433,0.1422
0.0060,0.003,1061.,-4.608,3.581,0.1468
0.0060,0.004,1244.,-4.293,3.667,0.1535
0.0060,0.005,1320.,-4.157,3.731,0.1595
0.0060,0.006,1378.,-4.059,3.788,0.1636
0.0060,0.007,1461.,-3.943,3.839,0.1666
0.0060,0.008,1535.,-3.845,3.885,0.1690
0.0060,0.009,1638.,-3.722,3.926,0.1709
0.0060,0.010,1747.,-3.598,3.960,0.1733
0.0060,0.011,1867.,-3.468,3.987,0.1762
0.0060,0.012,1958.,-3.370,4.010,0.1793
0.0060,0.013,2052.,-3.268,4.024,0.1836
0.0060,0.014,2146.,-3.163,4.028,0.1896
0.0060,0.015,2238.,-3.053,4.021,0.1979
0.0060,0.016,2322.,-2.947,4.007,0.2076
0.0060,0.017,2394.,-2.848,3.987,0.2189
0.0060,0.018,2456.,-2.760,3.969,0.2302
0.0080,0.002,773.,-5.204,3.451,0.1392
0.0080,0.003,969.,-4.790,3.606,0.1427
0.0080,0.004,1173.,-4.430,3.702,0.1475
0.0080,0.005,1275.,-4.251,3.765,0.1533
0.0080,0.006,1333.,-4.150,3.820,0.1577
0.0080,0.007,1381.,-4.071,3.870,0.1608
0.0080,0.008,1448.,-3.977,3.917,0.1629
0.0080,0.009,1530.,-3.873,3.959,0.1647
0.0080,0.010,1612.,-3.774,3.996,0.1662
0.0080,0.011,1735.,-3.636,4.027,0.1683
0.0080,0.012,1841.,-3.517,4.049,0.1713
0.0080,0.013,1955.,-3.389,4.060,0.1761
0.0080,0.014,2087.,-3.241,4.058,0.1832
0.0080,0.015,2205.,-3.099,4.041,0.1933
0.0080,0.016,2306.,-2.972,4.020,0.2045
0.0080,0.017,2382.,-2.867,3.999,0.2161
0.0080,0.018,2445.,-2.778,3.980,0.2272
0.0100,0.002,724.,-5.331,3.464,0.1372
0.0100,0.003,904.,-4.928,3.622,0.1400
0.0100,0.004,1079.,-4.598,3.725,0.1437
0.0100,0.005,1235.,-4.333,3.792,0.1487
0.0100,0.006,1300.,-4.219,3.845,0.1532
0.0100,0.007,1347.,-4.139,3.894,0.1565
0.0100,0.008,1390.,-4.071,3.939,0.1587
0.0100,0.009,1452.,-3.987,3.982,0.1603
0.0100,0.010,1537.,-3.881,4.020,0.1616
0.0100,0.011,1633.,-3.767,4.053,0.1633
0.0100,0.012,1760.,-3.622,4.076,0.1661
0.0100,0.013,1887.,-3.474,4.083,0.1714
0.0100,0.014,2049.,-3.289,4.074,0.1797
0.0100,0.015,2186.,-3.125,4.052,0.1909
0.0100,0.016,2294.,-2.990,4.029,0.2023
0.0100,0.017,2372.,-2.885,4.009,0.2136
0.0100,0.018,2433.,-2.800,3.993,0.2239
0.0150,0.002,646.,-5.550,3.483,0.1342
0.0150,0.003,801.,-5.163,3.647,0.1361
0.0150,0.004,952.,-4.847,3.757,0.1385
0.0150,0.005,1107.,-4.567,3.835,0.1415
0.0150,0.006,1228.,-4.363,3.891,0.1453
0.0150,0.007,1289.,-4.259,3.938,0.1487
0.0150,0.008,1331.,-4.188,3.981,0.1514
0.0150,0.009,1367.,-4.131,4.021,0.1532
0.0150,0.010,1407.,-4.073,4.059,0.1547
0.0150,0.011,1485.,-3.970,4.092,0.1562
0.0150,0.012,1625.,-3.796,4.112,0.1594
0.0150,0.013,1816.,-3.567,4.110,0.1662
0.0150,0.014,2005.,-3.344,4.091,0.1763
0.0150,0.015,2157.,-3.164,4.068,0.1874
0.0150,0.016,2262.,-3.037,4.052,0.1972
0.0150,0.017,2338.,-2.941,4.040,0.2060
0.0150,0.018,2392.,-2.872,4.035,0.2132
0.0150,0.019,2427.,-2.830,4.043,0.2172
0.0200,0.002,593.,-5.709,3.496,0.1322
0.0200,0.003,732.,-5.335,3.662,0.1337
0.0200,0.004,866.,-5.031,3.776,0.1354
